dwelling_id,max_hp_capacity_kw,n_optimal_runs,n_infeasible_runs,mc_runs
0,7.0,39,1,40
1,7.0,39,1,40
2,7.0,39,1,40
3,7.0,39,1,40
4,7.5,39,1,40
5,7.0,39,1,40
6,7.0,40,0,40
7,7.0,40,0,40
8,8.0,40,0,40
9,7.0,40,0,40
10,7.0,39,1,40
11,7.0,38,2,40
12,7.0,40,0,40
13,7.0,39,1,40
14,7.0,40,0,40
15,7.0,38,2,40
16,7.0,40,0,40
17,7.0,40,0,40
18,7.0,40,0,40
19,7.0,40,0,40
20,7.0,40,0,40
21,7.0,38,2,40
22,7.0,40,0,40
23,9.0,40,0,40
24,7.0,40,0,40
25,7.0,37,3,40
26,7.0,40,0,40
27,7.0,39,1,40
28,7.0,39,1,40
29,9.0,37,3,40
30,7.0,39,1,40
31,11.5,40,0,40
32,7.0,40,0,40
33,8.5,40,0,40
34,7.0,39,1,40
35,8.0,40,0,40
36,9.0,40,0,40
37,7.0,38,2,40
38,7.0,39,1,40
39,7.5,40,0,40
40,7.0,40,0,40
41,7.0,40,0,40
42,14.5,39,1,40
43,7.5,40,0,40
44,13.0,40,0,40
45,7.0,40,0,40
46,7.0,40,0,40
47,7.0,39,1,40
48,7.0,40,0,40
49,7.0,38,2,40
50,7.0,39,1,40
51,7.0,39,1,40
52,7.0,40,0,40
53,8.0,39,1,40
54,7.0,40,0,40
55,7.0,39,1,40
56,7.0,39,1,40
57,7.0,40,0,40
58,7.0,40,0,40
59,7.0,39,1,40
60,7.0,39,1,40
61,8.0,40,0,40
62,9.0,40,0,40
63,7.0,38,2,40
64,7.0,40,0,40
65,8.0,40,0,40
66,7.0,40,0,40
67,7.0,39,1,40
68,7.0,40,0,40
69,7.0,40,0,40
70,7.0,39,1,40
71,7.0,40,0,40
72,7.0,40,0,40
73,7.0,39,1,40
74,8.5,40,0,40
75,8.0,39,1,40
76,7.0,39,1,40
77,11.0,40,0,40
78,7.0,40,0,40
79,7.0,40,0,40
80,11.0,37,3,40
81,7.0,37,3,40
82,7.0,39,1,40
83,9.0,40,0,40
84,7.0,37,3,40
85,9.5,39,1,40
86,7.0,39,1,40
87,13.0,40,0,40
88,7.0,40,0,40
89,7.0,40,0,40
90,7.0,39,1,40
91,7.5,40,0,40
92,7.0,40,0,40
93,16.0,37,3,40
94,7.0,40,0,40
95,7.0,40,0,40
96,7.5,38,2,40
97,8.5,40,0,40
98,8.0,40,0,40
99,7.0,39,1,40
100,7.0,40,0,40
101,8.0,39,1,40
102,8.0,40,0,40
103,7.5,39,1,40
104,7.0,40,0,40
105,7.0,40,0,40
106,7.0,37,3,40
107,7.0,40,0,40
108,7.0,39,1,40
109,7.0,40,0,40
110,8.0,37,3,40
111,7.5,40,0,40
112,7.0,40,0,40
113,15.0,38,2,40
114,7.0,40,0,40
115,7.0,39,1,40
116,7.0,40,0,40
117,7.0,40,0,40
118,8.5,40,0,40
119,8.0,39,1,40
120,7.0,39,1,40
121,7.0,37,3,40
122,7.0,40,0,40
123,7.0,36,4,40
124,9.5,39,1,40
125,7.5,39,1,40
126,7.0,39,1,40
127,7.0,40,0,40
128,12.0,40,0,40
129,7.0,40,0,40
130,8.0,40,0,40
131,7.0,40,0,40
132,7.0,39,1,40
133,7.5,40,0,40
134,9.0,38,2,40
135,7.0,40,0,40
136,7.0,37,3,40
137,7.5,40,0,40
138,7.0,40,0,40
139,7.0,40,0,40
140,7.0,39,1,40
141,7.0,40,0,40
142,7.0,38,2,40
143,7.5,39,1,40
144,11.0,37,3,40
145,7.0,39,1,40
146,7.0,39,1,40
