,time,Circulation_Pump_Energy_Consumed,Heat_Pump_Energy_Output,Whole_System_Energy_Consumed,External_Air_Temperature,Heat_Pump_Heating_Flow_Temperature,Heat_Pump_Return_Temperature,Hot_Water_Flow_Temperature,Internal_Air_Temperature,ssrd_J_m2_30min,t2m_°C
0,2021-06-04 11:00:00,0.0,0.0,0.0009999999999763,17.36,23.973333333333333,22.27,,,908800.0,14.742333984375023
1,2021-06-04 11:30:00,0.0,0.0,0.0029999999999858994,17.540000000000003,23.854,22.328666666666667,,19.8,798976.0,14.976342773437523
2,2021-06-04 12:00:00,0.0,1.02800000000002,0.5110000000000241,17.396666666666665,23.77,35.772666666666666,42.96545454545455,19.636666666666667,798976.0,15.210351562500023
3,2021-06-04 12:30:00,0.0,0.91599999999994,0.3550000000000182,16.746666666666666,50.84125,50.315333333333335,56.65571428571429,19.46333333333333,723680.0,15.353540039062523
4,2021-06-04 13:00:00,0.0,0.0,0.003999999999962256,16.306666666666665,45.08533333333333,38.650666666666666,,19.31,723680.0,15.496728515625023
5,2021-06-04 13:30:00,0.0,0.0,0.0049999999999954525,16.106666666666666,39.282666666666664,32.43933333333334,,19.363333333333333,1016672.0,15.711572265625023
6,2021-06-04 14:00:00,0.0,0.0,0.004000000000019099,16.14,35.159285714285716,29.107142857142858,,19.374285714285715,1016672.0,15.926416015625023
7,2021-06-04 14:30:00,0.0,0.0,0.004000000000019099,16.44,32.184666666666665,27.156,,19.29,781248.0,15.923120117187523
8,2021-06-04 15:00:00,0.0,0.0,0.0049999999999954525,16.413333333333334,30.034,25.966,,19.37,781248.0,15.919824218750023
9,2021-06-04 15:30:00,0.0,0.0,0.003999999999962256,16.013333333333332,28.446,25.174,,19.49,628256.0,15.853540039062523
10,2021-06-04 16:00:00,0.0,0.0,0.005000000000052185,15.893333333333334,27.257333333333335,24.52466666666667,,19.466,628256.0,15.787255859375023
11,2021-06-04 16:30:00,0.0,0.0,0.003999999999962478,16.093333333333334,26.334666666666667,24.043999999999997,,19.07,401120.0,15.589624023437523
12,2021-06-04 17:00:00,0.0,0.0,0.0049999999999953415,16.27,25.599333333333334,23.733333333333334,,18.749333333333333,401120.0,15.391992187500023
13,2021-06-04 17:30:00,0.0,0.0,0.004000000000018988,16.42,25.015333333333334,23.502,,18.719999999999995,299328.0,15.250024414062523
14,2021-06-04 18:00:00,0.0,0.0,0.00400000000001921,16.08,24.551333333333332,23.320666666666668,,18.712666666666667,299328.0,15.108056640625023
15,2021-06-04 18:30:00,0.0,0.0,0.0049999999999954525,15.18,24.172666666666665,23.158666666666665,,18.596666666666668,330944.0,14.868188476562523
16,2021-06-04 19:00:00,0.0,0.0,0.003999999999962145,14.116666666666667,23.850666666666665,23.007333333333335,,18.51,330944.0,14.628320312500023
17,2021-06-04 19:30:00,0.0,0.0,0.004999999999995675,12.866666666666667,23.582666666666668,22.87,,18.5,156544.0,14.175927734375023
18,2021-06-04 20:00:00,0.0,0.0,0.004000000000018988,12.036666666666667,23.346666666666668,22.744000000000003,,18.42,156544.0,13.723535156250023
19,2021-06-04 20:30:00,0.0,0.0,0.0049999999999953415,11.686666666666667,23.142666666666667,22.626666666666665,,18.067999999999998,23008.0,13.117272949218773
20,2021-06-04 21:00:00,0.0,0.0,0.00400000000001921,11.01,22.964,22.517999999999997,,17.672666666666665,23008.0,12.511010742187523
21,2021-06-04 21:30:00,0.0,0.0,0.0049999999999954525,9.96,22.795333333333335,22.419333333333334,,17.369333333333334,0.0,11.963525390625023
22,2021-06-04 22:00:00,0.0,0.0,0.004000000000018988,9.096666666666666,22.60666666666667,22.32266666666667,,17.157333333333334,0.0,11.416040039062523
23,2021-06-04 22:30:00,0.0,0.0,0.0049999999999955635,8.446666666666667,22.434,22.230666666666664,,16.776,0.0,10.953332519531273
24,2021-06-04 23:00:00,0.0,0.0,0.003999999999962256,8.03,22.272,22.13266666666667,,16.358,0.0,10.490625000000023
25,2021-06-04 23:30:00,0.0,0.0,0.0049999999999953415,7.88,22.112000000000002,22.029333333333334,,16.056666666666665,0.0,10.089501953125023
26,2021-06-05 00:00:00,0.0,0.0,0.00400000000001921,7.52,21.974,21.921333333333333,,15.93,0.0,9.688378906250023
27,2021-06-05 00:30:00,0.0,0.0,0.0049999999999954525,6.92,21.863333333333333,21.804,,15.69,0.0,9.401147460937523
28,2021-06-05 01:00:00,0.0,0.0,0.004000000000018988,6.506666666666666,21.782,21.65,,15.196666666666667,0.0,9.113916015625023
29,2021-06-05 01:30:00,0.0,0.0,0.0049999999999955635,6.306666666666667,21.724,21.432000000000002,,15.002,0.0,8.891992187500023
30,2021-06-05 02:00:00,0.0,0.0,0.00400000000001921,6.246666666666667,21.704666666666665,21.174666666666667,,14.693333333333333,0.0,8.670068359375023
31,2021-06-05 02:30:00,0.0,0.0,0.0049999999999952305,6.346666666666667,21.737333333333332,20.88533333333333,,14.6,0.0,8.498681640625023
32,2021-06-05 03:00:00,0.0,0.0,0.003999999999962367,6.680000000000001,21.837333333333333,20.492666666666665,,14.54,0.0,8.327294921875023
33,2021-06-05 03:30:00,0.0199999999999995,3.7899999999999636,1.2030000000000314,7.28,32.296,26.684666666666665,,14.500666666666666,5216.0,8.255517578125023
34,2021-06-05 04:00:00,0.0210000000000008,2.441000000000031,0.7749999999999773,8.23,42.839333333333336,39.49066666666667,,15.460666666666667,5216.0,8.183740234375023
35,2021-06-05 04:30:00,0.0199999999999996,0.4290000000000873,0.09199999999998454,9.58,34.428,33.766,,15.952666666666666,105824.0,8.631005859375023
36,2021-06-05 05:00:00,0.021000000000000796,1.6289999999999054,0.3650000000000091,11.116666666666667,35.15266666666666,32.95933333333333,,16.176666666666666,105824.0,9.078271484375023
37,2021-06-05 05:30:00,0.0199999999999996,0.13200000000006007,0.01200000000000001,12.866666666666667,29.648000000000003,29.381333333333334,,16.458000000000002,307552.0,9.694421386718773
38,2021-06-05 06:00:00,0.015000000000000499,2.5249999999998654,0.7719999999999918,14.313333333333333,34.971,34.559333333333335,44.69,16.541333333333334,307552.0,10.310571289062523
39,2021-06-05 06:30:00,0.009000000000000397,2.8810000000000855,0.7510000000000332,15.413333333333332,37.58428571428571,43.34666666666667,54.87625,16.836666666666666,551904.0,11.058984375000023
40,2021-06-05 07:00:00,0.0010000000000011944,0.032999999999901775,0.007999999999981355,15.860000000000001,33.97533333333333,33.906666666666666,,17.30666666666667,551904.0,11.807397460937523
41,2021-06-05 07:30:00,0.0,0.0,0.0049999999999954525,15.56,31.639333333333333,31.188666666666666,,17.42866666666667,793184.0,12.444787597656273
42,2021-06-05 08:00:00,0.0,0.0,0.004000000000019099,15.703333333333335,27.922666666666668,30.78933333333333,,17.679333333333332,793184.0,13.082177734375023
43,2021-06-05 08:30:00,0.0,0.0,0.0049999999999954525,16.353333333333335,26.764,30.520666666666667,,17.76,1057728.0,13.569787597656273
44,2021-06-05 09:00:00,0.0,0.0,0.004000000000019099,16.886666666666667,26.87066666666667,28.429333333333332,,17.752000000000002,1057728.0,14.057397460937523
45,2021-06-05 09:30:00,0.0,0.0,0.0049999999999954525,17.28666666666667,26.64333333333333,27.264,,17.85142857142857,1278880.0,14.565881347656273
46,2021-06-05 10:00:00,0.0,1.5960000000000036,0.5509999999999877,17.64,26.445,34.86466666666667,38.40769230769231,17.95,1278880.0,15.074365234375023
47,2021-06-05 10:30:00,0.0,1.0420000000001437,0.42799999999999727,17.94,50.708571428571425,49.772,54.47375,18.003333333333334,1402528.0,15.598657226562523
48,2021-06-05 11:00:00,0.0,0.0,0.0049999999999954525,18.19333333333333,45.132,38.46,,18.148666666666667,1402528.0,16.122949218750023
49,2021-06-05 11:30:00,0.0,0.0,0.004000000000019988,18.39333333333333,39.338,32.848,,18.714,1332480.0,16.520776367187523
50,2021-06-05 12:00:00,0.0,0.0,0.004999999999994564,18.616666666666667,35.339333333333336,30.388666666666666,,18.967333333333332,1332480.0,16.918603515625023
51,2021-06-05 12:30:00,0.0,0.0,0.003999999999962256,18.866666666666667,32.537333333333336,28.95,,18.953333333333333,1179968.0,17.259301757812523
52,2021-06-05 13:00:00,0.0,0.0,0.005000000000052296,18.86,30.435333333333332,28.032,,18.926666666666666,1179968.0,17.600000000000023
53,2021-06-05 13:30:00,0.0,0.0,0.003999999999962256,18.56,28.874666666666666,27.35666666666667,,18.80666666666667,789760.0,17.519067382812523
54,2021-06-05 14:00:00,0.0,0.0,0.0049999999999954525,18.586666666666666,27.796666666666667,26.848666666666666,,18.76,789760.0,17.438134765625023
55,2021-06-05 14:30:00,0.0,0.0,0.004000000000019099,18.986666666666668,27.131333333333334,26.424666666666667,,18.86,762848.0,17.338159179687523
56,2021-06-05 15:00:00,0.0,0.0,0.004000000000019099,19.153333333333332,26.753333333333334,26.022,,18.86,762848.0,17.238183593750023
57,2021-06-05 15:30:00,0.0,0.0,0.0049999999999954525,19.053333333333335,26.486666666666668,25.706666666666667,,18.92,642368.0,17.185693359375023
58,2021-06-05 16:00:00,0.0,0.0,0.003999999999962256,19.186666666666667,26.261333333333333,25.44333333333333,,18.861333333333334,642368.0,17.133203125000023
59,2021-06-05 16:30:00,0.0,0.0,0.0049999999999954525,19.586666666666666,26.05,25.209999999999997,,18.81,430240.0,16.939599609375023
60,2021-06-05 17:00:00,0.0,0.0,0.004000000000019099,19.19333333333333,25.935333333333336,25.023333333333333,,18.794,430240.0,16.745996093750023
61,2021-06-05 17:30:00,0.0,0.0,0.0049999999999954525,17.89333333333333,25.872,24.84733333333333,,18.780000000000005,396512.0,16.565087890625023
62,2021-06-05 18:00:00,0.0,0.0,0.004000000000019099,17.036666666666665,25.784,24.712,,18.753333333333334,396512.0,16.384179687500023
63,2021-06-05 18:30:00,0.0,0.0,0.0049999999999954525,16.686666666666667,25.724,24.596,,18.532,313248.0,16.019067382812523
64,2021-06-05 19:00:00,0.0,0.0,0.004000000000019099,16.08,25.639333333333337,24.506666666666668,,18.43,313248.0,15.653955078125023
65,2021-06-05 19:30:00,0.0,0.0,0.0049999999999954525,15.18,25.533333333333335,24.38,,18.258666666666667,104096.0,15.179528808593773
66,2021-06-05 20:00:00,0.0,0.0,0.003999999999962256,14.676666666666668,25.483999999999998,24.256666666666668,,18.2,104096.0,14.705102539062523
67,2021-06-05 20:30:00,0.0,0.0,0.0049999999999954525,14.626666666666667,25.462666666666667,24.146,,18.060000000000002,16704.0,14.356042480468773
68,2021-06-05 21:00:00,0.0,0.0,0.004000000000019099,14.273333333333333,25.37066666666667,24.029333333333334,,17.869999999999997,16704.0,14.006982421875023
69,2021-06-05 21:30:00,0.0,0.0,0.004999999999996341,13.573333333333332,25.302666666666667,23.908,,17.723333333333336,0.0,13.752709960937523
70,2021-06-05 22:00:00,0.0,0.0,0.004000000000018211,13.129999999999999,25.294666666666668,23.796666666666667,,17.494666666666667,0.0,13.498437500000023
71,2021-06-05 22:30:00,0.0,0.0,0.0049999999999954525,12.979999999999999,25.204666666666665,23.66866666666667,,17.4,0.0,13.310388183593773
72,2021-06-05 23:00:00,0.0,0.0,0.004000000000019099,12.76,25.230666666666664,23.491333333333333,,17.221333333333334,0.0,13.122338867187523
73,2021-06-05 23:30:00,0.0,0.0,0.0049999999999954525,12.46,25.173333333333336,23.332,,16.913333333333334,0.0,12.988916015625023
74,2021-06-06 00:00:00,0.0,0.0,0.003999999999962256,12.183333333333334,25.166,23.138666666666666,,16.733333333333334,0.0,12.855493164062523
75,2021-06-06 00:30:00,0.0,0.0,0.0049999999999954525,11.933333333333334,25.19066666666667,22.947333333333333,,16.64,0.0,12.623986816406273
76,2021-06-06 01:00:00,0.0,0.0,0.004000000000019099,11.706666666666667,25.216,22.712666666666667,,16.660666666666668,0.0,12.392480468750023
77,2021-06-06 01:30:00,0.0,0.0,0.0049999999999954525,11.506666666666666,25.299285714285713,23.196,18.01,16.43466666666667,0.0,12.161889648437523
78,2021-06-06 02:00:00,0.0,1.6319999999998345,0.8520000000000323,11.283333333333333,,46.882666666666665,48.71666666666667,16.42,0.0,11.931298828125023
79,2021-06-06 02:30:00,0.0,2.018000000000029,1.1379999999999768,11.033333333333333,,61.15,64.03333333333333,16.33533333333333,0.0,11.559716796875023
80,2021-06-06 03:00:00,0.0,1.6560000000001764,1.211999999999989,10.713333333333333,,70.45266666666666,72.81333333333333,16.176666666666666,0.0,11.188134765625023
81,2021-06-06 03:30:00,0.0,1.515999999999849,0.5930000000000177,10.313333333333333,72.41,69.52933333333334,73.51642857142858,16.477999999999998,5312.0,10.876733398437523
82,2021-06-06 04:00:00,0.0209999999999973,2.10000000000014,0.33299999999997,10.356666666666666,33.97666666666667,32.06733333333333,,16.945333333333334,5312.0,10.565332031250023
