case_folder,tariff_type,case,ev_charge_max_kw,offset_max_hours,n_dwelling_files,n_runs,step_hours,n_runs_seen_raw_sum_over_dwellings,n_infeasible_runs_raw_sum_over_dwellings,n_infeasible_runs_replaced_sum_over_dwellings,n_dwellings_with_no_feasible_runs,mean_aggregated_hp_electricity_kwh,mean_aggregated_ev_electricity_kwh,mean_aggregated_baseload_electricity_kwh,mean_aggregated_electricity_kwh,mean_aggregated_gas_kwh,peak_extreme_demand_kw,peak_mean_demand_kw,peak_extreme_demand_ci95_low_kw,peak_extreme_demand_ci95_high_kw,peak_mean_demand_ci95_low_kw,peak_mean_demand_ci95_high_kw,total_hp_electricity_cost_gbp_unoffset_tariff,total_hp_electricity_cost_ci95_low_gbp,total_hp_electricity_cost_ci95_high_gbp,total_ev_electricity_cost_gbp_unoffset_tariff,total_ev_electricity_cost_ci95_low_gbp,total_ev_electricity_cost_ci95_high_gbp,total_baseload_electricity_cost_gbp_unoffset_tariff,total_baseload_electricity_cost_ci95_low_gbp,total_baseload_electricity_cost_ci95_high_gbp,total_electricity_cost_gbp_unoffset_tariff,total_gas_cost_gbp_unoffset_tariff,total_gas_cost_ci95_low_gbp,total_gas_cost_ci95_high_gbp,total_energy_cost_gbp_unoffset_tariff,total_energy_cost_ci95_low_gbp,total_energy_cost_ci95_high_gbp,ci95_bootstrap_samples
agile_hybrid_EV_5kW_offset0p5h,agile,hybrid,5.0,0.5,147,10,0.5,1470,22,22,0,18127.51826703353,7046.128470504895,9766.80286501389,34940.44960255231,24504.27177176741,897.3593177076673,855.9947580280439,897.3593177076673,897.3593177076673,815.8328373937272,892.678194280551,2026.7520882986607,2018.1683188804416,2033.5925999010312,670.2040029744877,648.7287694234153,693.2293678112404,1626.3623657183923,1582.9987940062185,1671.8099468692121,4323.318456991541,1470.2563063060445,1459.2254026371877,1481.57978493778,5793.574763297585,5744.17266712588,5843.770536882283,100
agile_hybrid_EV_5kW_offset1p0h,agile,hybrid,5.0,1.0,147,10,0.5,1470,22,22,0,18119.99134362589,7036.813707040881,9740.515422199074,34897.320472865846,24524.207036995467,750.9476374792397,717.4834659403637,750.9476374792397,750.9476374792397,688.2497783809167,745.8056259957315,2070.089550674432,2062.902931965991,2079.3507052575933,675.7102558792344,650.3077018647683,696.6844168455194,1622.4663765368832,1582.74058032527,1668.8592504094631,4368.26618309055,1471.452422219728,1458.2340978884229,1482.4273997658845,5839.718605310277,5793.244681277647,5887.833455718488,100
agile_hybrid_EV_5kW_offset2p0h,agile,hybrid,5.0,2.0,147,10,0.5,1470,22,22,0,18166.363877674496,7021.4355130708245,9752.028394064813,34939.82778481013,24379.567392324447,606.1418968781974,546.9465016703875,606.1418968781974,606.1418968781974,518.391169323259,591.5368452566676,2176.277981177417,2162.540969991764,2190.8843161253026,702.1433941960904,682.1691894683898,721.2572948451409,1623.6048664699763,1569.4824034266162,1669.5173973404408,4502.026241843484,1462.774043539467,1450.2179051183857,1476.0399551165651,5964.80028538295,5920.235045548977,6017.866629507111,100
agile_hybrid_EV_5kW_offset3p0h,agile,hybrid,5.0,3.0,147,10,0.5,1470,22,22,0,18202.705393497094,7037.284628936313,9747.627869217591,34987.617891650996,24193.04920551803,581.2583232360146,537.8345671068196,581.2583232360146,581.2583232360146,501.47153985031593,569.6786185733125,2279.859501308316,2261.169457073801,2295.8189472384774,730.0908173345312,709.2209644285207,752.3711096646493,1623.4032414306891,1578.4593567092977,1672.8836064739708,4633.353560073537,1451.5829523310822,1438.8649322350036,1466.2653691096364,6084.936512404619,6040.792095892169,6135.30814696197,100
agile_hybrid_EV_5kW_offset4p0h,agile,hybrid,5.0,4.0,147,10,0.5,1470,22,22,0,18201.702768630523,7034.687330312801,9742.534124962962,34978.92422390629,24105.49997396588,560.9107056717628,500.48675368701333,560.9107056717628,560.9107056717628,474.57991414193225,527.4319334112486,2340.8676068897566,2320.238070040925,2359.7095861182343,747.301739464716,725.6473182924373,771.5021727947617,1622.9498668459478,1574.857475556726,1689.1515651610778,4711.119213200421,1446.3299984379528,1431.0307055180567,1459.7705350169308,6157.449211638374,6113.343031257801,6217.357361917832,100
agile_hybrid_EV_5kW_offset5p0h,agile,hybrid,5.0,5.0,147,10,0.5,1470,22,22,0,18166.96138280547,7056.515191335353,9749.65959753472,34973.13617167555,24099.50566158524,528.3696758367157,482.92807354963423,528.3696758367157,528.3696758367157,453.3052720556773,512.438909061783,2380.8355995699408,2361.8919316702663,2400.821184016015,763.7541819216849,735.6644078071106,784.0125176076453,1623.7836346654822,1576.4356456585617,1675.417405638847,4768.373416157107,1445.9703396951145,1426.0460760275155,1465.365364903454,6214.343755852222,6166.677650930668,6265.591648536791,100
agile_hybrid_EV_5kW_offset6p0h,agile,hybrid,5.0,6.0,147,10,0.5,1470,22,22,0,18043.68501637229,7063.673274516847,9766.71099374074,34874.06928462988,24345.678080225167,508.3409344351984,461.28484426743785,508.3409344351984,508.3409344351984,430.7543035805658,503.6405568224415,2400.748154868324,2377.745544476829,2417.1837725532705,779.7464181835373,754.7946368706796,804.7464078367161,1627.1859756885167,1580.0412437188756,1666.903915444542,4807.680548740377,1460.7406848135101,1442.9121739559994,1485.0293605339082,6268.421233553887,6221.519806694718,6315.060308678184,100
agile_hybrid_EV_5kW_offset7p0h,agile,hybrid,5.0,7.0,147,10,0.5,1470,22,22,0,17887.401514160352,7045.155702270969,9749.876800909722,34682.434017341046,24696.764891615472,495.7105345769796,444.21477398404573,495.7105345769796,495.7105345769796,414.77801897575307,484.72931359087266,2405.211885636183,2383.101739577228,2427.2108206379608,793.5567689932956,769.1467934687178,818.3696061261513,1623.3608931367448,1573.0198981822987,1666.7086810330247,4822.129547766223,1481.8058934969283,1459.338224229111,1498.3455312891037,6303.93544126315,6245.545819666006,6349.345663981221,100
agile_hybrid_EV_5kW_offset8p0h,agile,hybrid,5.0,8.0,147,10,0.5,1470,22,22,0,17714.471543073574,7028.119844497844,9783.022622863424,34525.614010434845,25093.2811579309,507.23821585123244,458.5161036935296,507.23821585123244,507.23821585123244,428.9653002771252,496.2976682457727,2401.778107194003,2380.7871852575045,2423.3708280269007,808.3078348566719,783.4520372335932,837.4021438551082,1628.656421568182,1587.7851146284652,1690.5705248141699,4838.742363618857,1505.5968694758537,1485.9594509310643,1526.9278687032406,6344.33923309471,6302.907153973931,6402.288904292509,100
agile_hybrid_EV_5kW_offset9p0h,agile,hybrid,5.0,9.0,147,10,0.5,1470,22,22,0,17552.772116469325,7043.276909550454,9752.034025974535,34348.08305199432,25476.717319586387,536.9065283054624,465.9608881283238,536.9065283054624,536.9065283054624,435.429363983431,503.9540581069558,2394.682926489257,2376.0635073288495,2416.6761674054133,818.512413291636,791.747728680774,842.8690279373981,1624.8421939529364,1581.6318251963098,1663.7163317815546,4838.03753373383,1528.6030391751835,1508.5654931330102,1549.3901441056748,6366.640572909016,6319.483343736735,6428.304349971058,100
