run,peak_electricity_kw,demand_target,source_columns,source_file,cumulative_avg_peak_kw
41,6.459390476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_41.csv,7.494318118466899
42,6.549057142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_42.csv,7.471811904761905
43,6.449357142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_43.csv,7.44803388704319
44,6.417590476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_44.csv,7.424614718614719
45,7.883457142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_45.csv,7.434811216931217
46,6.464057142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_46.csv,7.413707867494824
47,6.368390476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_47.csv,7.391467071935157
48,10.166790476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_48.csv,7.44928630952381
49,6.552790476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_49.csv,7.430990476190477
50,7.120757142857142,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_50.csv,7.42478580952381
51,7.848257142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_51.csv,7.433089169000933
52,6.327190476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_52.csv,7.411821886446886
53,9.087623809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_53.csv,7.4434407906558855
54,6.480490476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_54.csv,7.4256083774250445
55,6.549057142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_55.csv,7.409671082251083
56,7.8445238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_56.csv,7.41743630952381
57,7.3788238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_57.csv,7.416758897243108
58,8.744523809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_58.csv,7.4396513957307056
59,9.071457142857142,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_59.csv,7.467309120258272
60,7.434890476190477,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_60.csv,7.46676880952381
61,7.352223809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_61.csv,7.464891022638564
62,8.39112380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_62.csv,7.479830261136713
63,7.617223809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_63.csv,7.4820111111111105
64,7.122057142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_64.csv,7.476386830357143
65,7.189057142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_65.csv,7.4719663736263735
66,6.725490476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_66.csv,7.4606561327561325
67,8.533057142857142,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_67.csv,7.476662117981521
68,7.288557142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_68.csv,7.473895868347339
69,8.463357142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_69.csv,7.488235886818496
70,8.184190476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_70.csv,7.498178095238096
71,7.001890476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_71.csv,7.491188128772635
72,8.627290476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_72.csv,7.506967328042328
73,7.404957142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_73.csv,7.50556992824527
74,10.166790476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_74.csv,7.541532368082368
75,7.341790476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_75.csv,7.538869142857143
76,8.178390476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_76.csv,7.5472838972431076
77,6.996190476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_77.csv,7.540126839826841
78,7.94798092341336,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_78.csv,7.545355738334359
79,6.542357142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_79.csv,7.532659553581483
80,7.630023809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_80.csv,7.533876606780763
81,8.186257142857142,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_81.csv,7.541930687473063
82,9.655057142857142,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_82.csv,7.56770052229482
83,7.539457142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_83.csv,7.567360240614848
84,6.627957142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_84.csv,7.556176870403446
85,6.782523809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_85.csv,7.5470750696872155
86,6.5941238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_86.csv,7.535994241080664
87,8.151190476190475,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_87.csv,7.543065462173881
88,7.226423809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_88.csv,7.5394672615755844
89,8.074523809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_89.csv,7.545479132900846
90,8.205557142857142,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_90.csv,7.55281333301147
91,8.46532380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_91.csv,7.562840920665453
92,7.523490476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_92.csv,7.562413198442898
93,7.068857142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_93.csv,7.557106144081761
94,6.497590476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_94.csv,7.545834700806323
95,6.660057142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_95.csv,7.5365107265121205
96,7.83862380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_96.csv,7.539657737793493
97,7.431990476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_97.csv,7.538547766024389
98,8.71852380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_98.csv,7.550588337896833
99,8.874657142857142,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_99.csv,7.563962770270169
100,7.18812380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_100.csv,7.560204380662705
101,8.53712380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_101.csv,7.5698768502553895
102,6.490123809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_102.csv,7.55929103613057
103,7.539457142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_103.csv,7.5590984740599545
104,6.487757142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_104.csv,7.5487971151060815
105,7.389957142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_105.csv,7.547284353465615
106,7.699390476190477,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_106.csv,7.548719316887547
107,7.530790476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_107.csv,7.5485517576286965
108,6.390990476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_108.csv,7.537833597615379
109,6.791990476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_109.csv,7.530991000171114
110,7.8163238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_110.csv,7.533584934801594
111,7.617223809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_111.csv,7.534338438177469
112,8.874657142857142,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_112.csv,7.5463055694692525
113,6.3921238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_113.csv,7.536091571593629
