run,peak_electricity_kw,demand_target,source_columns,source_file,cumulative_avg_peak_kw
44,789.0054640099819,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_44.csv,790.5325860197225
45,810.6453982037767,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_45.csv,790.9795374015904
46,800.8609388955663,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_46.csv,791.1943504775464
47,763.9662897766449,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_47.csv,790.6150300371017
48,777.1527949373922,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_48.csv,790.3345668058578
49,795.050862178926,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_49.csv,790.4308177318386
50,792.5049278065148,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_50.csv,790.4722999333322
51,778.5104518052642,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_51.csv,790.2377538916054
52,762.016692543388,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_52.csv,789.6950411733704
53,797.1353540051441,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_53.csv,789.8354244343473
54,787.4791218245566,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_54.csv,789.7917892008327
55,773.949892098807,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_55.csv,789.5037547080685
56,818.0246221127308,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_56.csv,790.0130559117232
57,780.3252796212173,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_57.csv,789.8430949241705
58,799.7490573304408,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_58.csv,790.013887379451
59,794.2922355517413,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_59.csv,790.0864017552525
60,776.2300228557394,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_60.csv,789.8554621069273
61,773.3592431164107,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_61.csv,789.5850322874106
62,824.8822857142861,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_62.csv,790.1543428265538
63,818.5960117351351,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_63.csv,790.6057978885948
64,797.0678614768974,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_64.csv,790.706767632162
65,783.722123144395,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_65.csv,790.5993115631194
66,769.3311721660607,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_66.csv,790.2770670268004
67,800.0095058555682,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_67.csv,790.4223273078268
