run_count,empirical_p2_5_peak_kw,empirical_p50_peak_kw,empirical_p97_5_peak_kw
1,7.338257142857143,7.338257142857143,7.338257142857143
2,6.416557142857143,6.8655904761904765,7.314623809523809
3,6.440190476190476,7.338257142857143,7.794732142857143
4,6.43125380952381,7.121123809523809,7.782719642857143
5,6.444030476190476,7.338257142857143,7.78497380952381
6,6.4568071428571425,7.409590476190476,8.390802976190475
7,6.46958380952381,7.358157142857143,8.374458809523809
8,6.454185476190476,7.348207142857143,8.358114642857142
9,6.418957142857143,7.338257142857143,8.341770476190476
10,6.422211309523809,7.1617404761904755,8.32542630952381
11,6.425465476190476,7.3043571428571425,8.309082142857143
12,6.376780476190476,7.144790476190476,8.292737976190475
13,6.377337142857143,6.985223809523809,8.276393809523809
14,6.377893809523809,6.9446071428571425,8.260049642857142
15,6.378450476190476,6.903990476190476,8.243705476190476
16,6.379007142857143,6.9446071428571425,8.22736130952381
17,6.379563809523809,6.903990476190476,8.211017142857141
18,6.380120476190476,6.9446071428571425,8.194672976190475
19,6.3806771428571425,6.985223809523809,8.219803809523809
20,6.38123380952381,6.9446071428571425,8.205763809523809
21,6.381790476190476,6.985223809523809,8.221290476190475
22,6.382347142857142,6.9446071428571425,8.208728809523809
23,6.356152142857143,6.903990476190476,8.196167142857142
24,6.356957976190476,6.9446071428571425,8.680943809523809
25,6.357763809523809,6.903990476190476,8.668683809523808
26,6.358569642857143,6.9446071428571425,8.656423809523808
27,6.359375476190476,6.985223809523809,8.644163809523809
28,6.360181309523809,7.088973809523809,9.134144642857143
29,6.360987142857143,6.985223809523809,9.12097380952381
30,6.361792976190476,7.088973809523809,9.107802976190476
31,6.362598809523809,6.985223809523809,9.094632142857144
32,6.363404642857143,7.088973809523809,9.081461309523808
33,6.364210476190476,6.985223809523809,9.068290476190477
34,6.365016309523809,7.007707142857143,9.055119642857141
35,6.365822142857143,6.985223809523809,9.04194880952381
36,6.366627976190476,7.007707142857143,9.028777976190476
37,6.367433809523809,7.0301904761904765,9.015607142857144
38,6.368239642857143,7.111457142857143,9.002436309523807
39,6.369045476190476,7.0301904761904765,8.989265476190475
40,6.369851309523809,7.007707142857143,8.976094642857142
41,6.370657142857143,7.0301904761904765,8.96292380952381
42,6.371213809523809,7.111457142857143,8.96292380952381
43,6.371770476190476,7.142223809523809,8.96292380952381
44,6.372327142857142,7.167473809523809,8.96292380952381
45,6.37288380952381,7.142223809523809,8.96292380952381
46,6.342452976190476,7.086207142857143,8.96292380952381
47,6.343258809523809,7.0301904761904765,8.96292380952381
48,6.344064642857143,7.086207142857143,8.96292380952381
49,6.344870476190476,7.0301904761904765,8.96292380952381
50,6.345676309523809,7.086207142857143,8.96292380952381
51,6.346482142857143,7.0301904761904765,8.96292380952381
52,6.347287976190476,7.007707142857143,8.96292380952381
53,6.348093809523809,6.985223809523809,8.96292380952381
54,6.348899642857143,7.007707142857143,8.96292380952381
55,6.349705476190476,6.985223809523809,8.96292380952381
56,6.350511309523809,7.007707142857143,8.96292380952381
57,6.351317142857143,6.985223809523809,8.96292380952381
58,6.352122976190476,7.007707142857143,8.96292380952381
59,6.352928809523809,6.985223809523809,8.96292380952381
60,6.353734642857143,6.9446071428571425,8.96292380952381
61,6.354540476190476,6.985223809523809,8.96292380952381
62,6.355346309523809,7.007707142857143,8.96292380952381
63,6.356152142857143,6.985223809523809,8.96292380952381
64,6.356957976190476,7.007707142857143,8.96292380952381
65,6.357763809523809,6.985223809523809,8.96292380952381
66,6.358569642857143,6.973090476190476,8.96292380952381
67,6.359375476190476,6.985223809523809,8.96292380952381
68,6.360181309523809,6.973090476190476,8.96292380952381
69,6.360987142857143,6.985223809523809,8.96292380952381
70,6.335132976190476,6.973090476190476,8.96292380952381
71,6.335432142857143,6.985223809523809,8.96292380952381
72,6.335731309523809,7.006007142857142,8.96292380952381
