run,peak_electricity_kw,demand_target,source_columns,source_file,cumulative_avg_peak_kw
1,7.338257142857143,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_01.csv,7.338257142857143
2,6.3929238095238095,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_02.csv,6.8655904761904765
3,7.818757142857143,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_03.csv,7.183312698412698
4,6.903990476190476,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_04.csv,7.113482142857142
5,7.4809238095238095,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_05.csv,7.186970476190476
6,8.472523809523809,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_06.csv,7.401229365079364
7,7.358157142857143,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_07.csv,7.39507619047619
8,6.742990476190476,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_08.csv,7.313565476190476
9,6.523090476190476,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_09.csv,7.22573492063492
10,6.985223809523809,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_10.csv,7.20168380952381
11,7.3043571428571425,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_11.csv,7.211017748917749
12,6.370657142857143,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_12.csv,7.140987698412698
13,6.618623809523809,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_13.csv,7.1008058608058615
14,6.428257142857143,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_14.csv,7.052766666666666
15,6.495657142857143,Dwelling 0,elec_kw_dwelling_0,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_15.csv,7.015626031746032
