case_type,n_runs,mean_annual_gas_kwh,std_annual_gas_kwh,p05_annual_gas_kwh,p50_annual_gas_kwh,p95_annual_gas_kwh,ci95_halfwidth_annual_gas_kwh,case_label
hybrid,182,10140.707836910795,6969.533898001365,4874.791269006252,8342.754986360193,27790.835021983272,1012.5677989106189,HHP
boiler_only,182,21510.499123163292,9171.331229575597,11709.379497096555,19943.71921389286,43327.539005770705,1332.4556293319235,Pure Boiler
