ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.4,0.0,0.0,1.0,True,147,59,0,0,147,500,150.7104034423828,10.028475761413574,150.2545623779297,164.19262237548827,167.83019790649413,190.84234619140625,125.46770477294922
0.4,0.0,0.2,0.8,True,147,59,0,29,118,500,208.4653778076172,10.245427131652832,207.65762329101562,222.13479766845703,226.69085998535155,238.79701232910156,180.42794799804688
0.4,0.0,0.4,0.6,True,147,59,0,59,88,500,268.08038330078125,11.166609764099121,267.79522705078125,282.3169311523437,284.99431304931636,310.33990478515625,242.25135803222656
0.4,0.0,0.6000000000000001,0.3999999999999999,True,147,59,0,88,59,500,325.6200866699219,12.032099723815918,324.9161376953125,341.3406524658203,347.42939147949215,367.188720703125,288.93939208984375
0.4,0.0,0.8,0.19999999999999996,True,147,59,0,118,29,500,386.7418212890625,11.761898040771484,386.29115295410156,401.7989196777344,407.6979614257812,427.1756591796875,354.5038757324219
0.4,0.0,1.0,0.0,True,147,59,0,147,0,500,444.4410705566406,12.257543563842773,443.48004150390625,460.26747131347656,465.9968658447266,504.488037109375,405.42620849609375
0.4,0.2,0.0,0.8,True,147,59,29,0,118,500,182.35934448242188,10.606063842773438,181.8589630126953,196.37937927246094,200.36897735595704,237.67578125,157.4981689453125
0.4,0.2,0.2,0.6000000000000001,True,147,59,29,29,89,500,239.5899658203125,10.028382301330566,239.18499755859375,253.14266204833984,256.4827178955078,269.7001953125,214.64010620117188
0.4,0.2,0.4,0.4,True,147,59,29,59,59,500,299.6041564941406,11.832634925842285,298.2736053466797,314.8636413574219,321.1073654174805,338.47552490234375,263.9790954589844
0.4,0.2,0.6000000000000001,0.19999999999999996,True,147,59,29,88,30,500,358.7725830078125,11.106827735900879,358.77711486816406,371.25194396972654,376.19256591796875,399.4591369628906,328.7614440917969
0.4,0.2,0.8,0.0,True,147,59,29,118,0,500,417.65362548828125,12.0109281539917,416.5796203613281,434.0335357666016,439.78235321044923,459.7775573730469,386.7507629394531
0.4,0.4,0.0,0.6,True,147,59,59,0,88,500,214.9039306640625,9.981193542480469,213.58260345458984,228.79546813964845,232.4798599243164,258.2731628417969,192.439453125
0.4,0.4,0.2,0.39999999999999997,True,147,59,59,29,59,500,272.43798828125,10.488338470458984,271.858154296875,286.1208465576172,289.2638595581055,307.3690185546875,247.77415466308594
0.4,0.4,0.4,0.19999999999999996,True,147,59,59,59,29,500,332.1285095214844,10.722391128540039,330.9072570800781,346.23431701660155,350.93845062255855,366.4752197265625,305.74932861328125
0.4,0.4,0.6000000000000001,0.0,True,147,59,59,88,0,500,391.3135070800781,11.58876895904541,390.92372131347656,405.359375,409.8163467407227,443.2214050292969,358.5847473144531
0.4,0.6000000000000001,0.0,0.3999999999999999,True,147,59,88,0,59,500,246.6251983642578,10.315047264099121,245.41226959228516,259.6795288085938,265.7072418212891,283.6463317871094,220.71591186523438
0.4,0.6000000000000001,0.2,0.1999999999999999,True,147,59,88,29,30,500,305.05059814453125,10.949690818786621,304.88218688964844,318.9080749511719,322.7814605712891,356.7350769042969,275.5445861816406
0.4,0.6000000000000001,0.4,0.0,True,147,59,88,59,0,500,364.01287841796875,10.749664306640625,363.6166076660156,377.7883697509766,384.26608428955075,397.8092346191406,337.894775390625
0.4,0.8,0.0,0.19999999999999996,True,147,59,118,0,29,500,280.3072204589844,10.755998611450195,278.9668426513672,295.32781982421875,299.42582244873046,313.8357238769531,254.5693359375
0.4,0.8,0.2,0.0,True,147,59,118,29,0,500,338.03424072265625,11.3316068649292,337.0547790527344,352.6660552978516,358.1790542602539,387.9773864746094,307.7317199707031
0.4,1.0,0.0,0.0,True,147,59,147,0,0,500,311.387451171875,10.479310989379883,311.82884216308594,324.51552124023436,329.76571502685545,353.9432678222656,287.07403564453125
