run,peak_kw,running_mean_kw
1,523.39208984375,523.39208984375
2,549.8875732421875,536.6398315429688
3,535.599609375,536.2930908203125
4,533.1864013671875,535.5164184570312
5,592.939208984375,547.0009765625
6,529.4884033203125,544.0821940104166
7,524.3779907226562,541.2672991071429
8,544.4500732421875,541.6651611328125
9,521.8854370117188,539.4673936631945
10,519.9740600585938,537.51806640625
11,546.887451171875,538.3698508522727
12,532.7981567382812,537.9055582682291
13,518.2548217773438,536.3939678485577
14,540.97509765625,536.72119140625
15,519.9715576171875,535.6045572916667
16,533.6234741210938,535.480712890625
17,546.7242431640625,536.1421185661765
18,523.3794555664062,535.43310546875
19,552.68505859375,536.3410773026316
20,567.9170532226562,537.919873046875
21,557.4153442382812,538.8482142857143
22,544.0521240234375,539.0847389914773
23,545.9765625,539.3843834918479
24,553.459228515625,539.9708251953125
25,518.3076782226562,539.104296875
26,561.6390991210938,539.9710036057693
27,546.6015014648438,540.2165798611111
28,531.8798828125,539.9188406808036
29,532.1798095703125,539.6519733297414
30,545.8812866210938,539.8596028645833
31,544.497314453125,540.0091985887096
32,516.5596923828125,539.2764282226562
33,531.7901000976562,539.0495975378788
34,536.3461303710938,538.9700712316177
35,534.7208251953125,538.8486607142858
36,543.5785522460938,538.9800347222222
37,553.1177978515625,539.3621199324324
38,533.2601318359375,539.2015316611842
39,509.0014343261719,538.4271834935897
40,563.3301391601562,539.049755859375
41,538.4605712890625,539.0353944359756
42,563.6242065429688,539.620861235119
43,538.6090087890625,539.5973382994187
44,550.9780883789062,539.8560014204545
45,560.5259399414062,540.3153211805555
46,543.3248901367188,540.3807319972826
47,520.9488525390625,539.9672955452128
48,557.871826171875,540.3402913411459
49,514.41552734375,539.8112244897959
50,575.19140625,540.518828125
51,493.9496154785156,539.6056985294117
52,532.6810302734375,539.4725435697115
53,515.583984375,539.0218160377359
54,550.727294921875,539.2385706018518
55,512.7967529296875,538.7578125
56,539.7066650390625,538.7747628348214
57,561.1472778320312,539.1672491776316
58,545.1106567382812,539.2697332974138
59,529.1484375,539.0981859110169
60,540.0374145507812,539.1138346354167
61,498.4404602050781,538.4470414959017
62,540.6895141601562,538.4832409274194
63,557.8869018554688,538.7912326388889
64,547.935546875,538.93408203125
65,540.26806640625,538.9546274038462
66,562.5826416015625,539.3126183712121
67,518.1832275390625,538.9972597947761
68,529.7464599609375,538.8612132352941
69,554.3323974609375,539.0854279891304
70,528.8938598632812,538.93984375
71,570.9216918945312,539.3902948943662
72,521.2911376953125,539.1389431423611
73,549.337158203125,539.2786279965753
74,531.9988403320312,539.1802681587837
75,515.463623046875,538.8640625
76,509.0028076171875,538.4711657072369
77,526.9486694335938,538.3215300324675
78,542.1934204101562,538.3711939102565
79,539.39404296875,538.3841475474684
80,559.5941162109375,538.649267578125
81,539.7449951171875,538.6628086419753
82,529.0166015625,538.5451600609756
83,541.1563720703125,538.5766189759037
84,529.917724609375,538.4735398065476
85,532.9351806640625,538.4083639705882
86,531.951171875,538.3333030523256
87,532.2596435546875,538.2634698275862
88,549.01513671875,538.3856534090909
89,579.0853271484375,538.8429599719101
90,540.5634155273438,538.8620659722222
91,552.2550048828125,539.0092290521978
92,548.2304077148438,539.1094599184783
93,513.1110229492188,538.8298891129032
94,540.3971557617188,538.8465757978723
95,514.95947265625,538.5951480263158
96,533.876953125,538.5459798177084
97,526.2152709960938,538.4188547036083
98,584.4044189453125,538.8881138392857
99,524.8203735351562,538.7460148358585
100,552.2525024414062,538.88109375
101,517.6739501953125,538.6711401608911
102,570.2264404296875,538.9805070465686
103,538.580078125,538.9766383495146
104,540.6986694335938,538.9932016225962
105,544.2896728515625,539.0436383928571
106,535.2775268554688,539.0081073113207
107,547.6586303710938,539.0889675817757
108,522.7213745117188,538.9374276620371
109,543.7787475585938,538.9818305619266
110,558.0758056640625,539.1553977272728
111,552.3572998046875,539.2743172860361
112,550.6792602539062,539.3761509486607
113,543.0283203125,539.4084623893805
114,550.1434936523438,539.5026384320175
115,545.3037719726562,539.5530910326087
116,536.9237060546875,539.5304081357758
117,546.5975952148438,539.590811965812
118,566.2147216796875,539.8164393538135
119,551.7892456054688,539.9170496323529
120,531.1300048828125,539.8438151041667
121,521.185546875,539.6896306818181
122,583.27490234375,540.046875
123,527.3868408203125,539.9439786585366
124,548.874267578125,540.0160030241935
125,532.63427734375,539.9569375
126,536.878173828125,539.9324776785714
127,507.7168273925781,539.6788262795276
128,563.4743041992188,539.86474609375
129,534.448974609375,539.8227349806201
130,555.1803588867188,539.9408653846153
131,525.8626708984375,539.8333730916031
132,530.9756469726562,539.7662760416666
133,561.9700927734375,539.9332119360902
134,516.4411010742188,539.7578708022388
135,519.5634155273438,539.608275462963
136,527.0595703125,539.5160271139706
137,553.1141967773438,539.6153056569343
138,529.8773193359375,539.544723731884
139,541.054931640625,539.5555867805756
140,538.7455444335938,539.5497767857142
141,552.5962524414062,539.6422872340426
142,524.89794921875,539.538457306338
143,569.123291015625,539.7453562062936
144,534.7530517578125,539.7106662326389
145,528.9945068359375,539.6367456896552
146,541.6976318359375,539.6508454623288
147,502.7522888183594,539.3998193027211
148,553.9862060546875,539.498363597973
149,550.3238525390625,539.5709941275168
150,546.3399658203125,539.6161458333333
151,528.3598022460938,539.5415976821192
152,558.9584350585938,539.6693564967105
153,532.972412109375,539.6255616830065
154,552.979248046875,539.7122564935065
155,535.6386108398438,539.6859879032259
156,514.3148803710938,539.5233373397435
157,539.9742431640625,539.5262241242038
158,528.5562744140625,539.4567840189874
159,529.4869995117188,539.3940644654089
160,558.3179931640625,539.512353515625
161,522.3904418945312,539.4060073757764
162,519.6363525390625,539.283950617284
163,562.9036254882812,539.4288726993865
164,537.0487670898438,539.4143483231708
165,542.5885009765625,539.4335700757575
166,530.3353271484375,539.378765060241
167,560.8914184570312,539.5075785928144
168,573.3946533203125,539.7093098958334
169,533.6517944335938,539.6734467455622
170,559.5977783203125,539.7906709558823
171,536.2420654296875,539.7699195906433
172,556.2319946289062,539.8656431686046
173,559.669677734375,539.9801300578034
174,529.716064453125,539.9211566091954
175,531.164306640625,539.8711160714286
176,517.8973999023438,539.7462713068181
177,548.65625,539.7966101694915
178,529.3560180664062,539.737974016854
179,528.2225952148438,539.6736208100559
180,543.3016357421875,539.6937934027778
181,531.376708984375,539.647833218232
182,572.89306640625,539.8304859203297
183,550.7398681640625,539.890112704918
184,524.9346313476562,539.8088485054348
185,541.9884033203125,539.8206503378378
186,501.7832336425781,539.6161374327957
187,565.5757446289062,539.7549715909091
188,539.2903442382812,539.7524933510638
189,546.10986328125,539.7861276455027
190,541.8041381835938,539.7967516447368
191,532.2306518554688,539.7571580497382
192,537.6690063476562,539.7462972005209
193,531.355224609375,539.7028011658031
194,533.601806640625,539.6713514819587
195,518.0444946289062,539.5604567307693
196,538.8204956054688,539.5566804846939
197,546.9090576171875,539.5939879441624
198,537.8375854492188,539.5851089015151
199,546.735595703125,539.621034861809
200,558.089599609375,539.713359375
201,538.22314453125,539.7059623756219
202,526.6893920898438,539.6415145420792
203,551.6563720703125,539.7007004310345
204,573.1708984375,539.8647748161765
205,551.6376342773438,539.9222179878049
206,544.0028686523438,539.9420130461165
207,527.8968505859375,539.8838315217391
208,538.9259033203125,539.8792442908654
209,543.83642578125,539.8981758373205
210,544.2802124023438,539.9190476190477
211,542.3551635742188,539.9305761255924
212,552.78125,539.9911925117924
213,542.0299072265625,540.0007702464789
214,571.101806640625,540.1461010514018
215,561.558837890625,540.2457122093023
216,552.861572265625,540.3041087962963
217,556.995849609375,540.3810123847926
218,524.7142333984375,540.3091313073395
219,518.7300415039062,540.2105807648402
220,512.669189453125,540.0854048295455
221,519.1065673828125,539.9904906674208
222,531.3046875,539.951365427928
223,512.303466796875,539.8273892937219
224,540.0927124023438,539.8285784040179
225,534.2191162109375,539.8036458333333
226,543.7474365234375,539.8211075774336
227,533.7401733398438,539.7943281938326
228,548.7533569335938,539.8336074561404
229,556.0606689453125,539.9044759825327
230,539.7373046875,539.9037364130435
231,524.5555419921875,539.8372903138528
232,541.6160278320312,539.8449622844828
233,538.218017578125,539.8379828326181
234,556.0742797851562,539.9073851495726
235,538.3639526367188,539.9008311170213
236,553.5982055664062,539.9588850635594
237,536.0875854492188,539.9425435126582
238,519.973876953125,539.8586528361344
239,512.556884765625,539.7444103033473
240,522.0732421875,539.6707682291667
241,543.216552734375,539.6854901452282
242,538.2442626953125,539.6795260847107
243,541.2737426757812,539.6860853909465
244,540.312255859375,539.6886526639345
245,577.8404541015625,539.844387755102
246,510.53045654296875,539.7252286585366
247,559.138916015625,539.8038335020243
248,546.5004272460938,539.8308341733871
249,542.5367431640625,539.8416792168674
250,527.6641845703125,539.793
251,533.0011596679688,539.76593625498
252,517.73095703125,539.6785094246031
253,561.4191284179688,539.7644515810276
254,576.7623291015625,539.910125492126
255,531.8239135742188,539.878431372549
256,528.443359375,539.833740234375
257,552.3930053710938,539.8825997081713
258,554.5697631835938,539.9394985465116
259,530.4588623046875,539.9028716216217
260,520.513671875,539.8283052884616
261,527.1324462890625,539.7796336206897
262,542.36181640625,539.7894799618321
263,500.4053955078125,539.6397338403042
264,532.4417114257812,539.6124526515151
265,515.7374877929688,539.5223466981132
266,548.10400390625,539.5546287593985
267,538.53173828125,539.5507958801498
268,547.4127807617188,539.5801072761194
269,507.80548095703125,539.4620120817843
270,558.103271484375,539.5310763888889
271,525.452880859375,539.4791282287823
272,527.746337890625,539.4360064338235
273,524.0283203125,539.3795787545788
274,541.5118408203125,539.3873745437957
275,528.3609619140625,539.3472727272728
276,533.6847534179688,539.3267663043479
277,526.9425659179688,539.2820397111914
278,508.833740234375,539.1724932553957
279,520.366455078125,539.1050627240144
280,524.7670288085938,539.0538504464286
281,537.475341796875,539.048209519573
282,558.732421875,539.1180186170212
283,547.148193359375,539.14636704947
284,519.689208984375,539.0778499119718
285,537.7169799804688,539.0730811403508
286,545.6035766601562,539.0959353146853
287,505.19256591796875,538.977787456446
288,553.6984252929688,539.0289171006945
289,522.1741943359375,538.9705882352941
290,528.2552490234375,538.9336206896552
291,527.8806762695312,538.895618556701
292,529.7279052734375,538.8642444349315
293,546.8289794921875,538.8914249146758
294,538.5252685546875,538.8901998299319
295,541.570068359375,538.8992584745763
296,552.112548828125,538.9438872466217
297,532.4539184570312,538.9220328282828
298,522.646728515625,538.8673972315436
299,532.327880859375,538.8455267558528
300,573.3640747070312,538.9605729166667
301,529.8711547851562,538.9303882890365
302,535.5864868164062,538.9193398178808
303,561.2791748046875,538.9931415016501
304,551.684814453125,539.0348992598684
305,529.5191040039062,539.0036885245902
306,576.1752319335938,539.1251531862745
307,544.9802856445312,539.1442385993486
308,563.542236328125,539.2234679383117
309,550.8304443359375,539.2610234627832
310,530.1657104492188,539.2317036290323
311,556.787353515625,539.2881330385852
312,544.3861083984375,539.3044871794872
313,509.82427978515625,539.2103134984026
314,561.572998046875,539.281548566879
315,581.2721557617188,539.4148313492063
316,537.0059814453125,539.4071894778481
317,564.3680419921875,539.4859522870662
318,529.5897216796875,539.4548447327044
319,551.2613525390625,539.4918691222571
320,519.8175048828125,539.43037109375
321,549.1502685546875,539.4606697819314
322,531.1215209960938,539.4347826086956
323,541.0350341796875,539.4397252321982
324,538.4869995117188,539.4367766203703
325,541.4457397460938,539.4429807692308
326,526.5636596679688,539.4034700920246
327,544.6096801757812,539.4193902905199
328,541.7966918945312,539.4266387195122
329,540.368896484375,539.4295212765958
330,529.747314453125,539.4001893939394
331,563.6002807617188,539.4732817220544
332,519.7890625,539.413968373494
333,536.6311645507812,539.4055930930931
334,511.1877746582031,539.3211077844311
335,558.223876953125,539.3775186567165
336,548.9473266601562,539.406017485119
337,535.3441162109375,539.3939632789318
338,521.5355834960938,539.3411150147929
339,523.2888793945312,539.2937407817109
340,540.4667358398438,539.2971966911765
341,551.4502563476562,539.3328445747801
342,529.391845703125,539.30377375731
343,550.1153564453125,539.33527696793
344,539.0103759765625,539.334347747093
345,547.033203125,539.3566576086956
346,536.7686767578125,539.3491690751445
347,529.9671630859375,539.3221361671469
348,560.5462646484375,539.383126795977
349,534.0210571289062,539.3677471346705
350,541.2811279296875,539.3732142857143
351,539.516845703125,539.373620014245
352,554.0787353515625,539.4153941761364
353,583.7276611328125,539.5409436968838
354,534.4512939453125,539.5265713276837
355,536.3172607421875,539.5175176056338
356,535.0194702148438,539.5048718398876
357,508.310302734375,539.4174982492997
358,543.940673828125,539.430123952514
359,534.229248046875,539.4156511142062
360,552.7162475585938,539.4526041666667
361,536.740966796875,539.4450744459833
362,566.9924926757812,539.5211930248619
363,531.4649658203125,539.4990099862259
364,518.8206787109375,539.4422218406594
365,533.0118408203125,539.4246147260274
366,536.1171875,539.4155566939891
367,541.745849609375,539.4219175749319
368,542.167724609375,539.4293902853261
369,527.4127807617188,539.3968072493225
370,517.1541748046875,539.3366976351351
371,564.9261474609375,539.4056603773585
372,529.593017578125,539.3792842741935
373,515.87451171875,539.3162701072386
374,567.6099853515625,539.3919201203208
375,549.8436889648438,539.4197916666667
376,523.8939819335938,539.3784906914893
377,530.2944946289062,539.3544015251989
378,543.9832763671875,539.3666501322751
379,519.684814453125,539.3147262532982
380,568.88427734375,539.3925575657895
381,550.1926879882812,539.4208907480315
382,537.93115234375,539.417007526178
383,522.9577026367188,539.3740208877284
384,543.8856811523438,539.3857828776041
385,555.1678466796875,539.4267857142858
386,529.4417724609375,539.4009067357513
387,539.0540161132812,539.3999919250646
388,522.5935668945312,539.3566768685567
389,536.5567626953125,539.3494938946016
390,520.9832763671875,539.3024038461539
391,553.5706176757812,539.3389146419437
392,550.8030395507812,539.368144132653
393,538.4916381835938,539.3658953562341
394,559.5934448242188,539.4172350888325
395,561.7158203125,539.4736946202531
396,535.240234375,539.4629892676768
397,526.666259765625,539.430769836272
398,545.427978515625,539.4458228643216
399,562.8250732421875,539.5044251253133
400,528.0682373046875,539.4758203125
401,529.318603515625,539.4504753740648
402,516.21875,539.3926850124378
403,519.3943481445312,539.3430521091811
404,503.1106872558594,539.253364789604
405,536.743408203125,539.2471836419753
406,524.0579833984375,539.2097829433498
407,531.0784912109375,539.1898034398034
408,523.7107543945312,539.1518458946078
409,526.5823974609375,539.1211033007335
410,560.0089111328125,539.1720655487804
411,575.6309814453125,539.2607588199513
412,540.32666015625,539.2633495145631
413,553.5318603515625,539.2978964891041
414,531.7832641601562,539.2797403381643
415,519.2579345703125,539.2315135542169
416,557.6463012695312,539.2757662259615
417,526.7579956054688,539.2457658872902
