ev_penetration,hhp_percentage,n_dwellings,n_ev_homes,n_hhp_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.0,0.0,147,0,0,10,357.24462890625,7.93071985244751,354.2002258300781,366.00458068847655,371.35328826904293,376.7019958496094,350.0653991699219
0.2,0.0,147,29,0,10,415.65069580078125,5.053762912750244,416.23387145996094,422.21698608398435,423.2233612060547,424.229736328125,406.90814208984375
0.4,0.0,147,59,0,10,474.31561279296875,9.891399383544922,472.58177185058594,488.2282958984375,491.7245300292969,495.22076416015625,460.8403015136719
0.6000000000000001,0.0,147,88,0,10,537.450927734375,11.380248069763184,539.9212951660156,551.7500549316406,552.5781219482421,553.4061889648438,513.801513671875
0.8,0.0,147,118,0,10,595.15625,20.796567916870117,594.0430603027344,618.1069213867188,631.0405212402344,643.97412109375,565.767822265625
1.0,0.0,147,147,0,10,653.8324584960938,9.436373710632324,652.6150512695312,662.8457946777344,668.3064117431641,673.7670288085938,641.0318603515625
0.0,0.2,147,0,29,10,333.88909912109375,4.9904465675354,334.1042175292969,338.9342041015625,339.3970031738281,339.85980224609375,325.1550598144531
0.2,0.2,147,29,29,10,397.9767150878906,7.655765533447266,396.78956604003906,408.29234619140624,408.78008422851565,409.267822265625,386.39202880859375
0.4,0.2,147,59,29,10,453.1687927246094,10.136003494262695,456.3352355957031,460.55750732421876,462.9039672851562,465.25042724609375,427.81524658203125
0.6000000000000001,0.2,147,88,29,10,510.7696838378906,14.79166030883789,514.944580078125,522.2856323242188,525.5084167480469,528.731201171875,474.7879943847656
0.8,0.2,147,118,29,10,571.0672607421875,12.190468788146973,572.7718200683594,586.3022705078125,586.6553161621093,587.0083618164062,554.5380859375
1.0,0.2,147,147,29,10,626.2879638671875,20.57541275024414,626.61279296875,653.8321960449218,659.0764373779297,664.3206787109375,590.6947021484375
0.0,0.4,147,0,59,10,310.97637939453125,6.495515823364258,309.04234313964844,320.27685546875,321.32275390625,322.36865234375,301.8333740234375
0.2,0.4,147,29,59,10,373.53729248046875,13.219464302062988,376.30140686035156,386.02037658691404,391.06649322509764,396.11260986328125,352.2936096191406
0.4,0.4,147,59,59,10,434.4496154785156,14.55605697631836,437.488037109375,449.20697631835935,453.4897491455078,457.77252197265625,408.7991027832031
0.6000000000000001,0.4,147,88,59,10,506.666015625,12.303303718566895,508.48341369628906,519.2636108398438,524.1275329589844,528.991455078125,485.5180358886719
0.8,0.4,147,118,59,10,566.3294677734375,11.848934173583984,559.6427001953125,580.2677307128906,584.8115386962891,589.3553466796875,553.9653930664062
1.0,0.4,147,147,59,10,613.389892578125,15.77003288269043,607.2682495117188,631.0516357421875,641.0901184082031,651.1286010742188,594.042236328125
0.0,0.6000000000000001,147,0,88,10,286.4148254394531,4.460635662078857,286.5674743652344,290.786767578125,292.32359008789064,293.86041259765625,276.5477600097656
0.2,0.6000000000000001,147,29,88,10,356.62359619140625,8.434991836547852,356.5945281982422,363.5246917724609,369.1608291625976,374.7969665527344,344.5118103027344
0.4,0.6000000000000001,147,59,88,10,412.66973876953125,9.055774688720703,409.73146057128906,424.4379821777344,429.3329132080078,434.22784423828125,404.44970703125
0.6000000000000001,0.6000000000000001,147,88,88,10,470.859619140625,11.748950958251953,471.68296813964844,484.08331909179685,487.80592651367186,491.5285339355469,449.43389892578125
0.8,0.6000000000000001,147,118,88,10,541.3654174804688,18.47453498840332,540.1527404785156,565.6523620605469,570.7023101806641,575.7522583007812,504.6483459472656
1.0,0.6000000000000001,147,147,88,10,608.0499267578125,18.235450744628906,613.1527099609375,631.4999389648438,633.6617736816406,635.8236083984375,578.3770141601562
0.0,0.8,147,0,118,10,266.7548522949219,7.394050121307373,265.4120178222656,275.6292358398438,277.8734405517578,280.1176452636719,256.8115539550781
0.2,0.8,147,29,118,10,330.41485595703125,14.849841117858887,326.6222686767578,349.7018646240234,353.91027374267577,358.1186828613281,303.49627685546875
0.4,0.8,147,59,118,10,399.8597106933594,9.236990928649902,400.8583221435547,413.06651306152344,413.63182830810547,414.1971435546875,383.84564208984375
0.6000000000000001,0.8,147,88,118,10,453.87652587890625,17.124399185180664,452.1110076904297,469.68837280273436,481.01357421874997,492.3387756347656,430.234130859375
0.8,0.8,147,118,118,10,523.8230590820312,12.549368858337402,518.114013671875,544.8656433105468,545.2270111083984,545.58837890625,509.4654235839844
1.0,0.8,147,147,118,10,583.3116455078125,17.017940521240234,586.7270202636719,602.2656066894531,605.8099884033203,609.3543701171875,555.9349975585938
0.0,1.0,147,0,147,10,244.23147583007812,3.15238881111145,243.73745727539062,248.14130859375,249.34931030273438,250.55731201171875,240.05557250976562
0.2,1.0,147,29,147,10,318.2945251464844,11.711888313293457,316.5380096435547,334.08262939453124,335.3428436279297,336.6030578613281,292.4947509765625
0.4,1.0,147,59,147,10,370.5672912597656,9.550862312316895,373.07582092285156,380.55751647949216,381.998469543457,383.4394226074219,355.6763610839844
0.6000000000000001,1.0,147,88,147,10,430.7278747558594,12.671574592590332,430.77606201171875,447.2345916748047,450.1332107543945,453.0318298339844,412.850830078125
0.8,1.0,147,118,147,10,495.587890625,16.43170738220215,490.8387451171875,511.1503234863281,524.288296508789,537.42626953125,477.1571350097656
1.0,1.0,147,147,147,10,566.1466064453125,10.744073867797852,569.2330017089844,578.398095703125,579.3913696289062,580.3846435546875,542.4794921875
