Dwelling ID,Technology,Capacity kW,Flat,Time-of-use,HP Heat Proportion (Flat),HP Heat Proportion (Time-of-use),R(K/W),C(J/K),g(m^2),HTC (1/R),Thermal Constant (R*C),Peak Demand Reduction (Flat -> Time-of-use) [kWh]
EOH0368,HHP,4.0,2.388,0.0,1.0,1.0,0.0091423250816485,87885347.70163918,1.0009400630423872e-06,109.38136536047182,803476.4186020952,2.388
EOH0379,HHP,4.0,3.429,0.0,0.9153492955713106,0.8276906325495935,0.0048976822288653,31467155.48416053,3.2857826788623425,204.17821191140874,154116.12820771433,3.429
EOH0380,HHP,4.0,3.429,0.0,0.8119885624094353,0.7081237654691059,0.0040246095261943,26762095.63697207,8.346272967102234,248.47130969885848,107706.9850414807,3.429
EOH0388,HHP,4.0,2.602,0.0,1.0,1.0,0.0078007506685393,89090725.47492751,1.0024285991886404e-06,128.19279098780007,694974.5363091921,2.602
EOH0391,HHP,4.0,2.545,0.0,1.0,0.9414905157451029,0.0080941678699504,12627092.325552236,0.848268931832301,123.54574504347758,102205.80499238218,2.545
EOH0443,HHP,4.0,1.876,0.0,1.0,1.0,0.0152468781854895,16473912.108737623,2.802954276758614,65.58719679099312,251175.731160383,1.876
EOH0450,HHP,4.0,2.9,0.0,1.0,0.9582082858644317,0.0064795720935506,38316895.8807864,1.0034955216918148e-06,154.33117890536994,248277.08926062746,2.9
EOH0464,HHP,4.0,3.195,0.0,0.9994082390385528,0.9377365091604907,0.0054767288062195,69225133.77716263,5.676991606165262,182.59074629811445,379127.28427178506,3.195
EOH0465,HHP,4.0,3.429,0.0,0.8576279914249331,0.7437881787480017,0.0044843223698451,31124117.03088508,1.0016682384895995e-06,222.99913287334485,139570.5742432748,3.429
EOH0467,HHP,4.0,1.852,0.0,1.0,1.0,0.0160478242846072,9229476.35218578,1.0001606759990656e-06,62.31374311340029,148113.01473881485,1.852
EOH0470,HHP,4.0,3.429,0.0,1.0,1.0,0.0043761087913676,207138033.4157861,22.150104701938023,228.51351455718378,906458.5690574172,3.429
EOH0487,HHP,4.0,0.0,0.0,1.0,1.0,0.0050005222037632,117180363.84583926,29.99999999850069,199.97911403081832,585963.0112561698,0.0
EOH0490,HHP,4.0,3.429,0.0,0.5995066160945735,0.5124731499534089,0.0025294287997537,62505143.39394148,27.453691592055176,395.34617463728324,158102.3098333703,3.429
EOH0494,HHP,4.0,1.672,0.0,1.0,1.0,0.0162675063116833,62675028.92636734,4.607384163578934,61.47223679156044,1019566.4286446143,1.672
EOH0495,HHP,4.0,3.429,0.0,0.6394789863049833,0.5462576175981284,0.0030598056230848,104601839.98598003,9.09906241391165,326.81814571993345,320061.29817411816,3.429
EOH0505,HHP,4.0,3.215,0.0,0.9359635834464151,0.9375305634341297,0.0053555710489565,42194035.049765125,11.351424606736671,186.7214515238004,225973.15255117795,3.215
EOH0516,HHP,4.0,3.429,0.0,0.901245299289158,0.7978903346357922,0.0048609312762617,68312155.26845944,1.003564264087118e-06,205.7218963130559,332060.69209329993,3.429
EOH0517,HHP,4.0,2.179,0.0,1.0,1.0,0.010798580875338,80888438.53086482,3.727746864839069,92.604760898149,873480.3453553503,2.179
EOH0524,HHP,4.0,2.343,0.0,1.0,1.0,0.0094576873653407,28691497.976681665,0.7811219738715838,105.73409348089362,271355.2179067604,2.343
EOH0525,HHP,4.0,2.999,0.0,0.9826585008787788,0.9472301189846676,0.0061043645498422,24113760.146825843,1.8208901273752416,163.81721501640175,147199.1826036813,2.999
EOH0530,HHP,4.0,3.429,0.0,0.8052319569564589,0.7088154675584258,0.0037258772917614,73375299.99904533,14.155743557299724,268.39316533885426,273387.36404262326,3.429
EOH0534,HHP,4.0,3.429,0.0,0.6424562623764419,0.540178701806539,0.0028759457477216,194929896.58451605,16.639920792914445,347.7117051989685,560607.8071860501,3.429
EOH0539,HHP,4.0,2.527,0.0,1.0,1.0,0.0080320701220029,69272814.15347712,6.989622243373481,124.50090509800445,556404.1008292031,2.527
EOH0546,HHP,4.0,3.273,0.0,1.0,0.9925410926973856,0.0051962875435327,122249108.60842398,12.678438051053098,192.44508538496876,635241.5202699297,3.273
EOH0559,HHP,4.0,1.841,0.0,1.0,1.0,0.0162385607334871,15682760.460007029,0.5320976733916729,61.58181235469986,254665.45819855423,1.841
EOH0565,HHP,4.0,3.429,0.0,0.7964404765131072,0.6812711027020321,0.0039929215522858,81609442.8399781,3.045903514613705,250.44318725158445,325860.10318578465,3.429
EOH0567,HHP,4.0,3.429,0.0,0.9509006541941031,0.8615866649341608,0.004946027349057,94753235.0963078,2.866226059913584,202.18246471901497,468652.09219796595,3.429
EOH0570,HHP,4.0,2.418,0.0,1.0,1.0,0.0089266672822394,32169475.677869845,1.0001987725106831e-06,112.02389070662593,287166.2060204369,2.418
EOH0571,HHP,4.0,3.429,0.0,1.0,1.0,0.0046397316275653,204031406.3595179,19.5083455925175,215.52970737765497,946650.9691028831,3.429
EOH0575,HHP,4.0,3.123,0.0,0.9941598858662525,0.9295425845012382,0.0057043700916753,52373660.7811647,3.3071033080203245,175.30419378983754,298758.7441516235,3.123
EOH0576,HHP,4.0,1.812,0.0,1.0,1.0,0.0166310846798986,24166372.08646543,3.3222989653454262,60.12836921025749,401912.98057594436,1.812
EOH0577,HHP,4.0,3.056,0.0,0.9727687725342826,0.9692561063616559,0.0058114489836193,30885297.340018656,9.635982154329698,172.07412519987608,179488.3298354313,3.056
EOH0578,HHP,4.0,2.613,0.0,1.0,1.0,0.0077433469705816,38038058.05197397,1.0016138762019185e-06,129.1431216758314,294541.8815835597,2.613
EOH0582,HHP,4.0,2.794,0.0,1.0,1.0,0.0068300439576336,24779531.710060906,3.2445640980674533,146.41194203184443,169245.29082929168,2.794
EOH0603,HHP,4.0,3.429,0.0,0.8335987881310316,0.7189597688115351,0.0043535895997091,85407234.7627014,1.0016777262797616e-06,229.69551380470463,371828.0490028103,3.429
EOH0616,HHP,4.0,3.429,0.0,0.4374677026919056,0.3735830477813813,0.002238260648859,136395203.82131934,1.0045752168179267e-06,446.77549083024394,305288.0174063618,3.429
EOH0618,HHP,4.0,3.429,0.0,0.8382944318340643,0.7246147995785469,0.0043796355766706,56963795.62525564,1.003366257359371e-06,228.32949967956014,249480.66590256267,3.429
EOH0630,HHP,4.0,2.625,0.0,1.0,1.0,0.0076816953431791,35994913.07533688,1.0009310029569677e-06,130.17959647253414,276501.95614895184,2.625
EOH0643,HHP,4.0,2.933,0.0,0.985347963026072,0.9290909936876716,0.0063084928120257,18315061.07152043,3.18060468844347,158.51646816395328,115540.43112149835,2.933
EOH0645,HHP,4.0,2.995,0.0,1.0,1.0,0.0059926458641268,68410730.56762114,9.932297155193083,166.87119891168672,409961.2815979477,2.995
EOH0648,HHP,4.0,3.429,0.0,0.7646892173087866,0.653465478037274,0.0035804416671317,73943949.33759406,10.282706694629026,279.29515209812155,264751.99724059727,3.429
EOH0651,HHP,4.0,3.429,0.0,0.7924991440044925,0.7765560817003835,0.0037976731230041,53631532.48872591,29.999999895561512,263.31913453598213,203675.02947795557,3.429
EOH0652,HHP,4.0,3.429,0.0,0.9257253069170361,0.8008992173358164,0.004565720599784,112771038.5955604,3.506045798378614,219.02347683020926,514881.05397478666,3.429
EOH0653,HHP,4.0,1.884,0.0,1.0,1.0,0.0153606904307347,27228835.03336125,1.0001566774609802e-06,65.10124037127478,418253.70573700586,1.884
EOH0655,HHP,4.0,3.157,0.0,1.0,1.0,0.0054860440321134,139945643.4747731,12.838542053577743,182.28070976943434,767747.9622050487,3.157
EOH0663,HHP,4.0,2.627,0.0,1.0,0.9730302882147309,0.0076700209637859,16932493.464265894,1.0000216751563273e-06,130.37774012894002,129872.57984008714,2.627
EOH0667,HHP,4.0,3.429,0.0,0.30159617124990024,0.2574736930463441,0.0013553343948209,77914590.3912302,29.9999999973202,737.8252952343503,105600.32421561629,3.429
EOH0668,HHP,4.0,3.429,0.0,0.8379492752747685,0.7241272021398755,0.0043743485794485,52931126.20542581,1.0011290813155922e-06,228.6054670398663,231539.19672531364,3.429
EOH0669,HHP,4.0,3.411,0.0,0.9223720930232558,0.812878184963745,0.0050171690334775,28192342.590722032,0.2895276339022765,199.31558879667244,141445.74822735944,3.411
EOH0683,HHP,4.0,3.429,0.0,0.6077384674112984,0.5191069623988722,0.0028853776753854,50425877.50689952,8.895736468565667,346.57508045855036,145497.70122012668,3.429
EOH0687,HHP,4.0,3.054,0.0,0.9798907609301459,0.9178558298971633,0.0059568052415552,27185522.03799993,1.0007018695150097e-06,167.87522160770197,161938.8601703724,3.054
EOH0690,HHP,4.0,3.429,0.0,0.9032363671462845,0.8093847450678728,0.0041569519371898,70617531.16329417,15.062291648038116,240.56087612021423,293553.6829688167,3.429
EOH0697,HHP,4.0,2.774,0.0,1.0,1.0,0.0069815541705493,117559946.68480933,1.0021173474182304e-06,143.23458295551995,820751.1360668839,2.774
EOH0699,HHP,4.0,2.829,0.0,0.9430886121663762,0.8830882870443295,0.0067011795598252,11627786.186552132,2.783307332946187,149.2274592961489,77919.88311934096,2.829
EOH0702,HHP,4.0,2.734,0.0,1.0,1.0,0.0071197989064387,88357225.65923177,1.6320090187102947,140.45340509486337,629085.6786245558,2.734
EOH0728,HHP,4.0,3.429,0.0,0.8635743507273431,0.7506621667805878,0.0034033205642317,101577322.3519494,29.99999999893656,293.8306812792847,345700.1900199817,3.429
EOH0732,HHP,4.0,3.429,0.0,0.8779816561490399,0.8434232283984245,0.0044805821203023,55266732.26260284,11.548185341114747,223.1852855611831,247627.13242335257,3.429
EOH0737,HHP,4.0,3.32,0.0,0.9310597137927349,0.8832798568161155,0.0051744060579913,39380951.616615705,4.927220035237754,193.2588955703641,203773.03461447856,3.32
EOH0745,HHP,4.0,3.341,0.0,0.8368591848228865,0.7483638042170164,0.0051591972693953,15165364.703988686,1.902276857243654,193.82860313019356,78241.1081702023,3.341
EOH0746,HHP,4.0,1.989,0.0,1.0,1.0,0.0131903795168077,19843600.51776418,3.5420575051331147,75.81283000430433,261744.62180923132,1.989
EOH0749,HHP,4.0,3.429,0.0,0.9410936254198963,0.7836188646237021,0.0044322210482481,203988700.1069644,1.0005142296170754e-06,225.62051601538795,904123.0102188571,3.429
EOH0764,HHP,4.0,2.885,0.0,1.0,0.9816244155713835,0.0065286235920648,88977450.81428744,0.4033841334215728,153.17164267449078,580900.2845479423,2.885
EOH0766,HHP,4.0,2.618,0.0,1.0,1.0,0.007721072337142,24730231.834031377,1.0199539955351352e-06,129.51568853843375,190943.90890484813,2.618
EOH0769,HHP,4.0,3.429,0.0,0.84341157017331,0.7294239531178003,0.0043730376134696,36794328.01698725,0.4632511008612851,228.6739992630872,160902.98038062357,3.429
EOH0788,HHP,4.0,2.794,0.0,1.0,1.0,0.0068046088827414,59142876.50974536,4.647488447512791,146.9592179700894,402444.142849091,2.794
EOH0789,HHP,4.0,3.429,0.0,0.5874230310229671,0.5017157180165178,0.0030203190678801,123723448.19030294,1.0001770354880926e-06,331.09084753150916,373684.2897130476,3.429
EOH0791,HHP,4.0,3.392,0.0,0.9459602730182122,0.8733108072128078,0.0050619516339547,127684049.17077102,0.1073969831412292,197.55226290432572,646330.4813299365,3.392
EOH0793,HHP,4.0,2.843,0.0,1.0,0.9837937608388483,0.0066906256303578,43127849.246370815,0.34877924769285,149.46285373712087,288552.2935499759,2.843
EOH0808,HHP,4.0,2.507,0.0,1.0,1.0,0.0082151886062715,14959720.30672107,4.536721996027406,121.72575067072677,122896.92381678332,2.507
EOH0810,HHP,4.0,3.429,0.0,0.8246038743504317,0.7281899845867079,0.0039093742875844,41442735.93478372,11.386320762610552,255.79541032329738,162015.16627059353,3.429
EOH0813,HHP,4.0,1.575,0.0,1.0,1.0,0.0046770776547835,174757328.5807787,25.57386240289412,213.80872284154742,817353.5965148179,1.575
EOH0818,HHP,4.0,2.311,0.0,1.0,1.0,0.0096358787172842,18847554.03027045,2.770916913905096,103.77880724113582,181612.74475314707,2.311
EOH0822,HHP,4.0,2.813,0.0,1.0,1.0,0.0067504735876101,42776656.7306631,3.392596212304283,148.13775463626908,288762.69142660504,2.813
EOH0830,HHP,4.0,3.429,0.0,0.9064768465986562,0.7950175864832346,0.0048845075926439,35056034.46025532,1.001206221894964e-06,204.72892733466244,171231.4664891033,3.429
EOH0836,HHP,4.0,2.517,0.0,1.0,1.0,0.0081629030143908,41801310.46119342,4.38998484533483,122.50543688159087,341220.0431691615,2.517
EOH0837,HHP,4.0,3.388,0.0,0.9547738693467337,0.8710189395304492,0.0050144402385379,66290287.52399858,5.302315852569045,199.42405381853308,332408.6851845854,3.388
EOH0851,HHP,4.0,2.442,0.0,1.0,1.0,0.0087542961163885,23689828.018735223,0.3813365171795979,114.22962928201021,207387.76942232522,2.442
EOH0857,HHP,4.0,2.859,0.0,1.0,0.9777455489558785,0.0066356585889462,41163843.5277964,1.0090503524873155e-06,150.70094197821118,273149.21185925964,2.859
EOH0876,HHP,4.0,2.856,0.0,1.0,1.0,0.0065325525096182,106434294.52047956,6.209419327861087,153.0795196100836,695287.6177792014,2.856
EOH0889,HHP,4.0,2.076,0.0,1.0,1.0,0.0121160973662791,21703171.18914486,1.4061350463309898,82.53482699661598,262957.7352847025,2.076
EOH0894,HHP,4.0,3.429,0.0,0.900657151823242,0.8545288642261651,0.0047237140430674,43034539.06792752,8.465355329887554,211.69782736269067,203282.85653210187,3.429
EOH0896,HHP,4.0,3.429,0.0,0.9378270427593894,0.8152096289783974,0.0048296051170751,83843993.56495051,2.019244333910485,207.0562656281139,404933.3803572968,3.429
EOH0901,HHP,4.0,3.082,0.0,0.9787789600599909,0.9116117830501433,0.0058716774887528,36935148.31765024,1.0004775399034648e-06,170.3090815044764,216871.2789204928,3.082
EOH0904,HHP,4.0,1.953,0.0,1.0,1.0,0.0140511595230814,26010810.406985413,1.0000239319874075e-06,71.16850380620413,365482.04635317787,1.953
EOH0918,HHP,4.0,2.83,0.0,1.0,0.9762641658089486,0.0067438703880748,37102663.768778674,0.1518401740624,148.28280237536922,250215.55550896225,2.83
EOH0922,HHP,4.0,3.429,0.0,0.8871488104953889,0.7751943772540724,0.0046537581447793,36823057.48473119,1.0443616874814077,214.88009666377368,171365.60368524413,3.429
EOH0923,HHP,4.0,3.429,0.0,0.4873154595216541,0.41616880279380086,0.0023989604981844,93180511.56380372,5.623572912570257,416.8472139315457,223536.3664421798,3.429
EOH0930,HHP,4.0,3.429,0.0,0.8634028668329984,0.750475343113246,0.0045413459374716,42399505.71126524,1.0003089567534456e-06,220.19903653425513,192550.8230126583,3.429
EOH0934,HHP,4.0,3.429,0.0,0.7347562212333095,0.6276747831150046,0.0035437561882592,97728592.30254713,7.345274306104192,282.1864560866503,346326.3037420118,3.429
EOH0937,HHP,4.0,3.429,0.0,0.8425983993620706,0.7284383854672987,0.0043530687902096,33233098.87665505,0.6595623185632625,229.72299501654558,144665.9655219168,3.429
EOH0943,HHP,4.0,0.0,0.0,1.0,1.0,0.0053044881017357,94943737.24221209,29.99999998624243,188.5196046858483,503627.9245356347,0.0
EOH0953,HHP,4.0,3.111,0.0,0.9733498033126593,0.9209010508841642,0.0057569149195167,46055693.84411965,1.9605334878157616,173.70414779101012,265138.71101990587,3.111
EOH0957,HHP,4.0,3.429,0.0,0.5294077638849571,0.45209777107515947,0.0026927467554408,74343604.92922807,1.0017738904875511e-06,371.3680085137828,200188.50096095155,3.429
EOH0958,HHP,4.0,3.429,0.0,0.88666758644182,0.8454521255967754,0.0045852622903475,27083003.366254307,13.669572486746896,218.09003208063234,124182.67404464028,3.429
EOH0975,HHP,4.0,3.072,0.0,0.9756573808903931,0.9071616278009434,0.0059027845125015,23521544.19433994,1.0008855824510482e-06,169.4115714172017,138842.60678046936,3.072
