Dwelling ID,Device(HHP/mHP+capacity),Tariff Type,Weather(mild/extreme),Peak Electricity Consumption (Feb 11) 1600-1900,Total Electricity Consumption (Feb10-12),Total gas Consumption (Feb10-12),R(K/W),C(J/K),g(m^2)
EOH0245,HHP 4 kW,Time-of-use,mild,0.0,38.451,0.0,0.0073857748709736,21826327.196307626,5.22794773573167
EOH0248,HHP 4 kW,Time-of-use,mild,0.0,53.287,0.0,0.0059492759387812,56037794.3018795,1.37634343720707
EOH0254,HHP 4 kW,Time-of-use,mild,0.0,26.354,0.0,0.0107788661919266,23944697.865200445,2.946203484920602
EOH0256,HHP 4 kW,Time-of-use,mild,0.0,25.898,0.0,0.0101243492249586,100278546.3320949,5.154624777910998
EOH0258,HHP 4 kW,Time-of-use,mild,0.0,43.934,0.0,0.0065166540093639,20784709.67758609,5.57605122857841
EOH0276,HHP 4 kW,Time-of-use,mild,0.0,42.84,0.0,0.0070333896200084,39443740.19648615,3.1413623808895834
EOH0277,HHP 4 kW,Time-of-use,mild,0.0,70.286,215.392,0.0022550285340648,176450895.73973802,16.255011194876108
EOH0279,HHP 4 kW,Time-of-use,mild,0.0,61.081,8.351,0.0046586711440233,46364824.663355365,6.066492898103431
EOH0283,HHP 4 kW,Time-of-use,mild,0.0,67.102,46.959,0.0041055570429433,171917743.6885799,1.0017151441655354e-06
EOH0286,HHP 4 kW,Time-of-use,mild,0.0,62.32,19.838,0.0048405565469052,26881694.49544656,1.000028377899376e-06
EOH0290,HHP 4 kW,Time-of-use,mild,0.0,56.126,3.957,0.0050404191951438,26932753.936245088,7.21450854371059
EOH0295,HHP 4 kW,Time-of-use,mild,0.0,26.773,0.0,0.0101566822150147,13039035.064543366,4.961109817036505
EOH0310,HHP 4 kW,Time-of-use,mild,0.0,42.83,0.0,0.0075922060766859,67961458.40523162,1.001778673986953e-06
EOH0311,HHP 4 kW,Time-of-use,mild,0.0,60.88,21.233,0.004907054041422,24218450.45538129,1.0005968192193095e-06
EOH0315,HHP 4 kW,Time-of-use,mild,0.0,28.811,0.0,0.0107078876449519,17917374.467504706,1.0609063787725233
EOH0322,HHP 4 kW,Time-of-use,mild,0.0,46.665,0.0,0.0065618390581445,28775548.39962674,2.7600315071568167
EOH0324,HHP 4 kW,Time-of-use,mild,0.0,39.433,0.0,0.0082516235378234,69132089.03844078,1.0008075082289976e-06
EOH0332,HHP 4 kW,Time-of-use,mild,0.0,20.04,0.0,0.0139831466501654,9812892.272047274,2.112624955996687
EOH0335,HHP 4 kW,Time-of-use,mild,0.0,50.606,0.0,0.0052572321670443,79664541.80345312,10.519022665451748
EOH0351,HHP 4 kW,Time-of-use,mild,0.0,70.286,104.983,0.0031090567917091,117127576.46757036,6.339490537994123
EOH0354,HHP 4 kW,Time-of-use,mild,0.0,35.538,0.0,0.007640619304962,38587258.80883751,6.596331680846816
EOH0355,HHP 4 kW,Time-of-use,mild,0.0,58.582,28.317,0.0049025203499644,21679451.73125,1.0023329785760871e-06
EOH0358,HHP 4 kW,Time-of-use,mild,0.0,38.949,0.0,0.0083493041632988,101579891.15713304,1.0000446380706704e-06
EOH0368,HHP 4 kW,Time-of-use,mild,0.0,36.068,0.0,0.0091423250816485,87885347.70163918,1.0009400630423872e-06
EOH0379,HHP 4 kW,Time-of-use,mild,0.0,61.916,6.244,0.0048976822288653,31467155.48416053,3.2857826788623425
EOH0380,HHP 4 kW,Time-of-use,mild,0.0,60.042,42.861,0.0040246095261943,26762095.63697207,8.346272967102234
EOH0388,HHP 4 kW,Time-of-use,mild,0.0,41.67,0.0,0.0078007506685393,89090725.47492751,1.0024285991886404e-06
EOH0391,HHP 4 kW,Time-of-use,mild,0.0,38.609,2.945,0.0080941678699504,12627092.325552236,0.848268931832301
EOH0443,HHP 4 kW,Time-of-use,mild,0.0,17.61,0.0,0.0152468781854895,16473912.108737623,2.802954276758614
EOH0450,HHP 4 kW,Time-of-use,mild,0.0,50.338,0.0,0.0064795720935506,38316895.8807864,1.0034955216918148e-06
EOH0464,HHP 4 kW,Time-of-use,mild,0.0,53.334,0.0,0.0054767288062195,69225133.77716263,5.676991606165262
EOH0465,HHP 4 kW,Time-of-use,mild,0.0,64.479,29.545,0.0044843223698451,31124117.03088508,1.0016682384895995e-06
EOH0467,HHP 4 kW,Time-of-use,mild,0.0,19.687,0.0,0.0160478242846072,9229476.35218578,1.0001606759990656e-06
EOH0470,HHP 4 kW,Time-of-use,mild,0.0,49.669,0.0,0.0043761087913676,207138033.4157861,22.150104701938023
EOH0487,HHP 4 kW,Time-of-use,mild,0.0,33.834,0.0,0.0050005222037632,117180363.84583926,29.99999999850069
EOH0490,HHP 4 kW,Time-of-use,mild,0.0,69.266,115.179,0.0025294287997537,62505143.39394148,27.453691592055176
EOH0494,HHP 4 kW,Time-of-use,mild,0.0,14.558,0.0,0.0162675063116833,62675028.92636734,4.607384163578934
