tariff_type,output_layout,case,ev_bypassed,ev_charge_max_kw,offset_max_hours,dwelling_id,breakdown_path,existing_completed_runs,runs_added,target_total_runs,final_total_runs,status_counts,max_monovalent_hp_capacity_kw
agile,offset_scan,boiler_only,True,0.0,2.0,26,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_26_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,27,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_27_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,28,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_28_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,29,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_29_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,30,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_30_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,31,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_31_runs_breakdown.csv,0,5,5,5,"{'optimal': 3, 'infeasible': 2}",
agile,offset_scan,boiler_only,True,0.0,2.0,32,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_32_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,33,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_33_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,34,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_34_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,35,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_35_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,36,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_36_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,37,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_37_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,38,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_38_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,39,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_39_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,40,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_40_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,41,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_41_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,42,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_42_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,43,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_43_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,44,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_44_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,45,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_45_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,46,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_46_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,47,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_47_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,48,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_48_runs_breakdown.csv,0,5,5,5,"{'infeasible': 2, 'optimal': 3}",
agile,offset_scan,boiler_only,True,0.0,2.0,49,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_49_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,50,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_50_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,51,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_51_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,52,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_52_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,53,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_53_runs_breakdown.csv,0,5,5,5,"{'optimal': 3, 'infeasible': 2}",
agile,offset_scan,boiler_only,True,0.0,2.0,54,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_54_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,55,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_55_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,56,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_56_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,57,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_57_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,58,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_58_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,59,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_59_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,60,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_60_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,61,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_61_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,62,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_62_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,63,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_63_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,64,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_64_runs_breakdown.csv,0,5,5,5,"{'infeasible': 3, 'optimal': 2}",
agile,offset_scan,boiler_only,True,0.0,2.0,65,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_65_runs_breakdown.csv,0,5,5,5,"{'optimal': 4, 'infeasible': 1}",
agile,offset_scan,boiler_only,True,0.0,2.0,66,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_66_runs_breakdown.csv,0,5,5,5,"{'infeasible': 3, 'optimal': 2}",
agile,offset_scan,boiler_only,True,0.0,2.0,67,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_67_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,68,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_68_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,69,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_69_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,70,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_70_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,71,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_71_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,72,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_72_runs_breakdown.csv,0,5,5,5,"{'infeasible': 2, 'optimal': 3}",
agile,offset_scan,boiler_only,True,0.0,2.0,73,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_73_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,74,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_74_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,75,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_75_runs_breakdown.csv,0,5,5,5,"{'optimal': 4, 'infeasible': 1}",
agile,offset_scan,boiler_only,True,0.0,2.0,76,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_76_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,77,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_77_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,78,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_78_runs_breakdown.csv,0,5,5,5,"{'optimal': 4, 'infeasible': 1}",
agile,offset_scan,boiler_only,True,0.0,2.0,79,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_79_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,80,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_80_runs_breakdown.csv,0,5,5,5,{'infeasible': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,81,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_81_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
agile,offset_scan,boiler_only,True,0.0,2.0,82,E:\Github\LV-network\Output Data\Single Dwelling Runs\half-year\agile_boiler_only_EV_0kW_offset2p0h\dwelling_82_runs_breakdown.csv,0,5,5,5,{'optimal': 5},
