time,run,dwelling_id,hp_elec_kw,boiler_gas_kw,ev_charge_kw,appliance_kw,tariff_elec_price,tariff_gas_price,tariff_offset_steps,Tin_C,T_tank_C,V_stor_m3,Q_hp_space_w,Q_bo_space_w,Q_hp_hw_w,Q_bo_hw_w,ev_soc_kwh,solve_status
2021-02-07 14:00:00,1,36,0.0,0.0,0.0,0.3972333333333333,14.007,6.0,0,20.767329169848534,55.0,0.03266666666666666,0.0,0.0,0.0,0.0,46.87083253130005,optimal
2021-02-07 14:30:00,1,36,0.41250184144197827,0.0,0.0,0.3444,13.23,6.0,0,20.64471131939073,55.0,0.03266666666666666,1443.756445046924,0.0,0.0,0.0,46.71016748590704,optimal
2021-02-07 15:00:00,1,36,2.4285714285714284,0.0,0.0,0.2868,11.382,6.0,0,20.58753828773533,55.0,0.03266666666666666,8500.0,0.0,0.0,0.0,46.549663105559425,optimal
2021-02-07 15:30:00,1,36,2.4285714285714284,0.0,0.0,0.32730000000000004,11.7495,6.0,0,20.854803994573256,55.0,0.030666666666666665,8500.0,0.0,0.0,0.0,46.389319229592154,optimal
2021-02-07 16:00:00,1,36,0.0,0.0,0.0,0.22323333333333328,24.3285,6.0,0,21.122531485861106,55.0,0.030666666666666665,0.0,0.0,0.0,0.0,46.22913569750085,optimal
2021-02-07 16:30:00,1,36,0.0,0.0,0.0,0.4669666666666666,28.917,6.0,0,20.975787624926756,55.0,0.030666666666666665,0.0,0.0,0.0,0.0,46.06911234894164,optimal
2021-02-07 17:00:00,1,36,0.0,0.0,0.0,0.3636333333333333,31.3635,6.0,0,20.83808050146067,55.0,0.027333333333333334,0.0,0.0,0.0,0.0,45.909249023730986,optimal
2021-02-07 17:30:00,1,36,0.0,0.0,0.0,0.3605333333333334,33.306,6.0,0,20.662769960803786,55.0,0.027333333333333334,0.0,0.0,0.0,0.0,45.749545561845544,optimal
2021-02-07 18:00:00,1,36,0.0,0.0,0.0,0.4963,31.3425,6.0,0,20.491903666311035,55.0,0.027333333333333334,0.0,0.0,0.0,0.0,45.590001803421984,optimal
2021-02-07 18:30:00,1,36,0.0,0.0,0.0,1.2327666666666668,28.2555,6.0,0,20.324530240459076,55.0,0.025333333333333333,0.0,0.0,0.0,0.0,45.544411801618566,optimal
2021-02-07 19:00:00,1,36,0.0,0.0,0.0,0.9190333333333331,15.6975,6.0,0,20.16387349547942,55.0,0.024,0.0,0.0,0.0,0.0,45.498867389816944,optimal
2021-02-07 19:30:00,1,36,1.0599208628384211,0.0,0.0,0.3133333333333333,12.5475,6.0,0,20.0,55.0,0.02266666666666667,3709.7230199344735,0.0,0.0,0.0,45.45336852242713,optimal
2021-02-07 20:00:00,1,36,1.0350199104574815,0.0,0.0,0.44656666666666667,12.0855,6.0,0,20.0,55.0,0.022,3622.5696866011854,0.0,0.0,0.0,45.407915153904696,optimal
2021-02-07 20:30:00,1,36,0.0,0.0,0.0,1.4288333333333332,11.907,6.0,0,20.0,55.0,0.022,0.0,0.0,0.0,0.0,45.362507238750794,optimal
2021-02-07 21:00:00,1,36,0.0,0.0,0.0,0.34596666666666664,12.5685,6.0,0,19.838230935725928,55.0,0.022,0.0,0.0,0.0,0.0,45.317144731512045,optimal
2021-02-07 21:30:00,1,36,0.0,0.0,0.0,0.44423333333333337,13.146,6.0,0,19.679209480584753,55.0,0.02,0.0,0.0,0.0,0.0,45.27182758678053,optimal
2021-02-07 22:00:00,1,36,0.0,0.0,0.0,0.311,10.584,6.0,0,19.52473450448746,55.0,0.02,0.0,0.0,0.0,0.0,45.22655575919375,optimal
2021-02-07 22:30:00,1,36,0.0,0.0,0.0,0.3533,6.678,6.0,0,19.36723137857994,55.0,0.02,0.0,0.0,0.0,0.0,45.18132920343456,optimal
2021-02-07 23:00:00,1,36,0.0,0.0,0.0,0.2978,7.938,6.0,0,19.20417986038159,55.0,0.02,0.0,0.0,0.0,0.0,45.13614787423112,optimal
2021-02-07 23:30:00,1,36,0.0,0.0,0.0,0.2888,5.292,6.0,0,19.0492333596718,55.0,0.017333333333333333,0.0,0.0,0.0,0.0,45.09101172635689,optimal
