ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.1,0.0,0.0,1.0,True,147,15,0,0,147,500,110.42433166503906,4.697421073913574,109.95035934448242,116.60353622436524,118.65690803527832,125.35779571533203,96.38957977294922
0.1,0.0,0.2,0.8,True,147,15,0,29,118,500,124.54126739501953,5.404689788818359,123.88972473144531,132.05678100585936,134.36669311523437,145.03050231933594,113.49665069580078
0.1,0.0,0.4,0.6,True,147,15,0,59,88,500,181.14093017578125,6.265385627746582,180.84848022460938,188.94418487548828,192.20592651367187,203.839599609375,164.85711669921875
0.1,0.0,0.6000000000000001,0.3999999999999999,True,147,15,0,88,59,500,238.66921997070312,6.707213878631592,238.7077865600586,247.49253997802734,249.36138076782225,260.21685791015625,220.01211547851562
0.1,0.0,0.8,0.19999999999999996,True,147,15,0,118,29,500,299.67919921875,7.339306831359863,299.4726257324219,309.3805358886719,311.45672912597655,319.94586181640625,269.5909118652344
0.1,0.0,1.0,0.0,True,147,15,0,147,0,500,358.3998107910156,6.996396064758301,358.2098388671875,367.3132781982422,371.290592956543,378.1785583496094,338.8507385253906
0.1,0.2,0.0,0.8,True,147,15,29,0,118,500,118.88385772705078,4.737771987915039,118.38038635253906,124.75812911987305,127.23179626464844,137.01663208007812,108.41876983642578
0.1,0.2,0.2,0.6000000000000001,True,147,15,29,29,89,500,154.42962646484375,6.19187068939209,154.1776123046875,162.71926574707032,165.0268714904785,172.75376892089844,136.46656799316406
0.1,0.2,0.4,0.4,True,147,15,29,59,59,500,212.97308349609375,6.1880083084106445,212.3817596435547,221.61876678466797,223.27087936401367,232.50204467773438,197.6308135986328
0.1,0.2,0.6000000000000001,0.19999999999999996,True,147,15,29,88,30,500,271.5210876464844,6.898201942443848,271.3844909667969,280.12529907226565,283.58739471435547,296.16143798828125,247.470703125
0.1,0.2,0.8,0.0,True,147,15,29,118,0,500,332.04925537109375,7.2569661140441895,331.88385009765625,340.85496826171874,345.42910919189455,354.7386779785156,311.245361328125
0.1,0.4,0.0,0.6,True,147,15,59,0,88,500,138.76983642578125,5.398670673370361,138.1619644165039,145.98357086181642,148.39860305786132,161.60989379882812,126.16030883789062
0.1,0.4,0.2,0.39999999999999997,True,147,15,59,29,59,500,186.3313446044922,6.219979286193848,186.32894134521484,194.79154052734376,196.8862075805664,203.33474731445312,167.98162841796875
0.1,0.4,0.4,0.19999999999999996,True,147,15,59,59,29,500,245.5359649658203,6.8691582679748535,244.95565795898438,254.49757690429686,257.1142944335937,267.2730712890625,227.96224975585938
0.1,0.4,0.6000000000000001,0.0,True,147,15,59,88,0,500,304.1981506347656,6.879298686981201,304.102294921875,313.0054595947266,315.36743621826173,332.8253173828125,283.6822204589844
0.1,0.6000000000000001,0.0,0.3999999999999999,True,147,15,88,0,59,500,165.95205688476562,5.494810581207275,165.77291870117188,172.74403076171876,174.60456008911132,190.27845764160156,150.77426147460938
0.1,0.6000000000000001,0.2,0.1999999999999999,True,147,15,88,29,30,500,218.2255401611328,5.875025272369385,218.35565185546875,225.8380340576172,228.14832382202147,237.2711639404297,200.41839599609375
0.1,0.6000000000000001,0.4,0.0,True,147,15,88,59,0,500,277.4422607421875,6.7381672859191895,276.95359802246094,286.68603515625,288.9275161743164,302.14337158203125,256.0719299316406
0.1,0.8,0.0,0.19999999999999996,True,147,15,118,0,29,500,196.1374969482422,5.551154613494873,195.58689880371094,203.6519012451172,206.01797943115233,217.12548828125,184.37347412109375
0.1,0.8,0.2,0.0,True,147,15,118,29,0,500,250.3826904296875,6.225776672363281,249.77642059326172,258.62159729003906,260.63521881103514,269.1961669921875,232.44091796875
0.1,1.0,0.0,0.0,True,147,15,147,0,0,500,226.379150390625,5.4802069664001465,225.96168518066406,233.91942291259767,235.8423820495605,243.78570556640625,210.0821533203125
