case_type,n_dwellings,mean_period_total_gas_kwh,std_period_total_gas_kwh,p05_period_total_gas_kwh,p50_period_total_gas_kwh,p95_period_total_gas_kwh,ci95_halfwidth_period_total_gas_kwh,mean_period_space_gas_kwh,std_period_space_gas_kwh,p05_period_space_gas_kwh,p50_period_space_gas_kwh,p95_period_space_gas_kwh,ci95_halfwidth_period_space_gas_kwh,mean_period_hw_gas_kwh,std_period_hw_gas_kwh,p05_period_hw_gas_kwh,p50_period_hw_gas_kwh,p95_period_hw_gas_kwh,ci95_halfwidth_period_hw_gas_kwh,case_label
hybrid,147,115.59745170420818,147.83855876541006,24.30891226634347,55.57824244800888,447.3029858756966,23.899296875948426,75.9957557253722,146.07585363613487,0.0,15.337077931965926,392.87878209791916,23.614341357299512,39.60169597883598,12.754318531962163,17.567611111111106,37.99155555555556,58.985574592592585,2.0618385865724043,HHP
boiler_only,147,493.79290486411753,231.13590490621772,204.51021543998667,446.3389147509255,974.9417728329746,37.364985536757914,454.1912088852816,230.42379807432653,159.18508210665334,410.9338211097027,920.5175690551971,37.24986771685435,39.60169597883598,12.754318531962163,17.56761111111111,37.99155555555556,58.985574592592585,2.0618385865724043,Pure Boiler
