case_index,case_label,peak_demand_kw,segment_id,point_index,path_distance_pct_points,mhp_share_pct,hhp_share_pct,boiler_share_pct,baseline_annual_co2_mean_kg,annual_co2_mean_kg,carbon_saving_kg,carbon_saving_pct,peak_result_csv,co2_result_csv,segment_count_before_selection,segment_selection_method,segment_selection_score_kg
1,10% EV,236.25,1,14,54.40457603315177,25.0,45.169080840165606,29.830919159834394,292997.63318918104,122389.55816489473,170608.0750242863,58.228482314780024,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,15,54.59623520897563,25.090249150502228,45.0,29.90975084949777,292997.63318918104,122528.987810066,170468.64537911504,58.1808950207621,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,16,60.80080176262629,28.764027330888254,40.0,31.235972669111746,292997.63318918104,122221.8947023926,170775.73848678844,58.28570580176766,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,17,63.19348038761554,30.0,37.951272940655784,32.048727059344216,292997.63318918104,123306.67370090028,169690.95948828076,57.91547107096106,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,18,67.04553845057657,32.47554829283859,35.0,32.524451707161404,292997.63318918104,123372.379744479,169625.25344470204,57.89304561896559,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,19,71.31672331708883,35.0,31.554689601482444,33.445310398517556,292997.63318918104,123922.42167304235,169075.2115161387,57.7053164818472,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,20,73.20810457038142,36.07715518303957,30.0,33.92284481696043,292997.63318918104,123505.21056767582,169492.42262150522,57.84771050081088,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,21,78.3974564730408,37.46617396247868,25.0,37.53382603752132,292997.63318918104,128814.69001143053,164182.9431777505,56.03558683757073,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,22,82.90682503087027,40.0,21.269835070413105,38.73016492958689,292997.63318918104,130618.13069486475,162379.5024943163,55.42007309986426,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,23,84.84348044224603,41.4622424820665,20.0,38.5377575179335,292997.63318918104,129441.93156877835,163555.7016204027,55.82150949144322,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,24,90.311236329179,43.675013242694455,15.0,41.324986757305545,292997.63318918104,133029.9893846474,159967.64380453364,54.59690648806253,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,25,94.07028074412436,45.0,11.482213052713844,43.517786947286154,292997.63318918104,136294.8263249628,156702.80686421823,53.48261866778946,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,26,95.64269756296305,45.52491820175288,10.0,44.47508179824712,292997.63318918104,137494.1792968481,155503.45389233294,53.07327987592594,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,27,101.1030413476626,47.71930974546311,5.0,47.28069025453689,292997.63318918104,143614.98894985137,149382.64423932967,50.98424946759797,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
1,10% EV,236.25,1,28,106.12918050823988,48.23124222293313,0.0,51.76875777706687,292997.63318918104,151292.08126924068,141705.55191994036,48.36406027500049,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,176813.31761596634
